AñoSemana,Año,Semana,Producto_codigo,Producto_nombre,Ventas_Semana,Descuento_promedio,Precio_promedio,Pct_Online,Depto_Principal,Hay_Campana
2021-W02,2021,2,CP_01,CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50),2,0.0,124.94,100.0,Desconocido,0
2021-W07,2021,7,CP_01,CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50),2,0.0,108.64,0.0,Desconocido,0
2021-W11,2021,11,CP_01,CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50),2,7.53,124.94,100.0,Desconocido,1
2021-W15,2021,15,CP_01,CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50),2,0.0,108.64,0.0,Desconocido,0
2021-W19,2021,19,CP_01,CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50),3,10.01,124.94,100.0,Desconocido,1
2021-W24,2021,24,CP_01,CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50),2,0.0,108.64,0.0,Desconocido,0
2021-W28,2021,28,CP_01,CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50),2,0.0,124.94,100.0,Desconocido,0
2021-W32,2021,32,CP_01,CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50),2,0.0,108.64,0.0,Desconocido,0
2021-W37,2021,37,CP_01,CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50),2,0.0,124.94,100.0,Desconocido,0
2021-W41,2021,41,CP_01,CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50),2,0.0,108.64,0.0,Desconocido,0
2021-W46,2021,46,CP_01,CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50),3,14.98,124.94,100.0,Desconocido,1
2021-W50,2021,50,CP_01,CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50),2,0.0,108.64,0.0,Desconocido,0
2021-W52,2021,52,CP_01,CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50),6,7.943333333333334,111.35666666666667,16.666666666666664,Tacna,1
2022-W01,2022,1,CP_01,CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50),103,2.5514545454545456,119.01272727272728,63.63636363636363,Cusco,1
2022-W02,2022,2,CP_01,CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50),135,5.12,119.67384615384616,67.6923076923077,Cusco,1
2022-W03,2022,3,CP_01,CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50),109,2.2467241379310345,117.35206896551725,53.44827586206896,Cusco,1
2022-W04,2022,4,CP_01,CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50),86,5.2339534883720935,119.25395348837209,65.11627906976744,Cusco,1
2022-W05,2022,5,CP_01,CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50),207,4.265,119.31931034482758,65.51724137931035,Cusco,1
2022-W06,2022,6,CP_01,CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50),247,3.316103896103896,118.37766233766234,59.74025974025974,Cusco,1
2022-W07,2022,7,CP_01,CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50),157,3.7472000000000003,119.072,64.0,Cusco,1
2022-W08,2022,8,CP_01,CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50),285,3.626901408450704,118.97098591549296,63.38028169014085,Cusco,1
2022-W09,2022,9,CP_01,CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50),227,3.0478181818181818,119.60545454545455,67.27272727272727,Cusco,1
2022-W10,2022,10,CP_01,CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50),301,4.010000000000001,116.45506849315068,47.94520547945205,Cusco,1
2022-W11,2022,11,CP_01,CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50),259,3.0169841269841267,117.69555555555556,55.55555555555556,Cusco,1
