AñoSemana,CP_01,CP_02,CP_03,CP_04,CP_05,CP_06,CP_07,CP_08,CP_09,CP_10,CP_11,CP_12,CP_13,CP_14,CR_01,CR_02,CR_03,CT_01,MECO_01,MZ_01
2021-W02,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2021-W07,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2021-W11,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2021-W15,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2021-W19,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2021-W24,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2021-W28,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2021-W32,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2021-W37,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2021-W41,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2021-W46,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2021-W50,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2021-W52,6.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,27.0,2.0,5.0,0.0,25.0,2.0,1.0,0.0,0.0,79.0,4.0,0.0
2022-W01,103.0,9.0,34.0,136.0,22.0,3.0,0.0,42.0,398.0,62.0,126.0,27.0,286.0,46.0,30.0,10.0,27.0,644.0,62.0,8.0
2022-W02,135.0,6.0,35.0,115.0,28.0,2.0,0.0,30.0,467.0,66.0,88.0,47.0,322.0,60.0,30.0,5.0,29.0,776.0,48.0,8.0
2022-W03,109.0,13.0,42.0,152.0,29.0,6.0,0.0,36.0,497.0,47.0,118.0,40.0,345.0,53.0,24.0,7.0,16.0,794.0,48.0,8.0
2022-W04,86.0,5.0,35.0,117.0,27.0,1.0,0.0,20.0,448.0,55.0,133.0,46.0,250.0,73.0,35.0,8.0,26.0,894.0,42.0,11.0
2022-W05,207.0,50.0,72.0,245.0,67.0,36.0,0.0,75.0,639.0,118.0,290.0,95.0,438.0,127.0,71.0,40.0,65.0,1393.0,101.0,32.0
2022-W06,247.0,43.0,76.0,270.0,75.0,42.0,5.0,89.0,987.0,117.0,215.0,85.0,678.0,124.0,80.0,55.0,80.0,1422.0,155.0,38.0
2022-W07,157.0,52.0,84.0,243.0,81.0,49.0,8.0,83.0,806.0,166.0,245.0,104.0,605.0,194.0,62.0,36.0,63.0,1256.0,129.0,64.0
2022-W08,285.0,46.0,106.0,240.0,74.0,33.0,5.0,79.0,828.0,161.0,269.0,93.0,637.0,152.0,98.0,44.0,83.0,1387.0,139.0,42.0
2022-W09,227.0,47.0,102.0,252.0,65.0,48.0,9.0,89.0,1002.0,149.0,265.0,137.0,660.0,158.0,116.0,59.0,110.0,2045.0,146.0,52.0
2022-W10,301.0,45.0,97.0,283.0,48.0,44.0,6.0,97.0,947.0,166.0,255.0,130.0,612.0,189.0,91.0,59.0,115.0,1659.0,86.0,56.0
2022-W11,259.0,56.0,95.0,327.0,122.0,33.0,7.0,101.0,1037.0,147.0,320.0,94.0,536.0,208.0,121.0,53.0,77.0,1578.0,160.0,50.0
2022-W12,251.0,55.0,129.0,256.0,74.0,42.0,7.0,68.0,1204.0,137.0,307.0,124.0,706.0,202.0,108.0,44.0,101.0,1798.0,161.0,56.0
2022-W13,259.0,63.0,111.0,278.0,88.0,49.0,9.0,101.0,977.0,179.0,363.0,131.0,562.0,159.0,99.0,58.0,89.0,1523.0,139.0,71.0
2022-W14,309.0,63.0,81.0,416.0,79.0,48.0,15.0,106.0,1130.0,191.0,349.0,92.0,651.0,173.0,105.0,57.0,97.0,1759.0,131.0,70.0
2022-W15,222.0,72.0,99.0,330.0,99.0,53.0,11.0,84.0,947.0,186.0,314.0,120.0,577.0,160.0,86.0,61.0,106.0,2011.0,149.0,54.0
2022-W16,205.0,68.0,134.0,421.0,97.0,47.0,17.0,92.0,929.0,220.0,230.0,152.0,594.0,156.0,138.0,59.0,90.0,1494.0,143.0,61.0
2022-W17,292.0,65.0,121.0,223.0,88.0,47.0,10.0,98.0,1276.0,200.0,312.0,116.0,621.0,178.0,106.0,53.0,72.0,1349.0,141.0,47.0
2022-W18,223.0,44.0,120.0,337.0,81.0,37.0,9.0,84.0,872.0,128.0,291.0,107.0,538.0,205.0,77.0,37.0,87.0,1360.0,123.0,44.0
2022-W19,181.0,69.0,122.0,312.0,68.0,37.0,4.0,90.0,846.0,152.0,269.0,106.0,588.0,197.0,97.0,67.0,86.0,1690.0,121.0,52.0
2022-W20,236.0,61.0,78.0,281.0,73.0,26.0,2.0,76.0,835.0,154.0,236.0,114.0,590.0,157.0,94.0,63.0,108.0,1547.0,113.0,58.0
2022-W21,252.0,43.0,100.0,296.0,89.0,28.0,5.0,70.0,995.0,158.0,227.0,115.0,541.0,194.0,89.0,59.0,71.0,1445.0,144.0,52.0
2022-W22,152.0,28.0,65.0,182.0,58.0,22.0,1.0,42.0,552.0,77.0,207.0,89.0,485.0,122.0,76.0,27.0,47.0,1040.0,87.0,27.0
2022-W23,154.0,10.0,38.0,182.0,32.0,6.0,0.0,38.0,437.0,71.0,156.0,54.0,389.0,76.0,41.0,16.0,30.0,940.0,56.0,10.0
2022-W24,167.0,16.0,43.0,158.0,37.0,13.0,0.0,39.0,508.0,84.0,149.0,46.0,435.0,86.0,37.0,17.0,25.0,931.0,54.0,13.0
2022-W25,144.0,22.0,33.0,179.0,37.0,14.0,0.0,40.0,525.0,83.0,164.0,40.0,356.0,78.0,50.0,16.0,28.0,1057.0,70.0,14.0
2022-W26,158.0,15.0,40.0,164.0,33.0,13.0,0.0,46.0,472.0,81.0,118.0,50.0,311.0,73.0,56.0,10.0,40.0,872.0,65.0,15.0
2022-W27,132.0,10.0,34.0,118.0,27.0,2.0,0.0,39.0,445.0,70.0,157.0,44.0,301.0,80.0,39.0,8.0,26.0,725.0,74.0,10.0
2022-W28,124.0,13.0,32.0,157.0,31.0,5.0,0.0,39.0,554.0,62.0,107.0,41.0,277.0,94.0,42.0,11.0,31.0,855.0,54.0,9.0
2022-W29,129.0,9.0,46.0,170.0,25.0,9.0,0.0,41.0,417.0,72.0,138.0,45.0,290.0,61.0,42.0,11.0,36.0,821.0,55.0,9.0
2022-W30,145.0,17.0,32.0,154.0,30.0,4.0,0.0,39.0,430.0,62.0,136.0,51.0,315.0,63.0,38.0,17.0,27.0,695.0,43.0,13.0
2022-W31,117.0,6.0,33.0,135.0,31.0,5.0,0.0,35.0,478.0,50.0,133.0,48.0,233.0,61.0,31.0,9.0,24.0,824.0,54.0,15.0
2022-W32,95.0,9.0,40.0,128.0,35.0,5.0,0.0,33.0,451.0,68.0,155.0,35.0,292.0,70.0,32.0,14.0,29.0,820.0,54.0,4.0
2022-W33,135.0,9.0,45.0,153.0,33.0,3.0,0.0,37.0,486.0,90.0,144.0,47.0,291.0,71.0,38.0,12.0,24.0,786.0,52.0,9.0
2022-W34,129.0,6.0,26.0,122.0,34.0,1.0,0.0,31.0,531.0,72.0,114.0,49.0,297.0,65.0,25.0,17.0,21.0,783.0,60.0,10.0
2022-W35,151.0,22.0,65.0,169.0,44.0,13.0,0.0,55.0,451.0,86.0,192.0,67.0,435.0,113.0,66.0,25.0,43.0,1062.0,75.0,16.0
2022-W36,236.0,39.0,78.0,181.0,73.0,34.0,4.0,75.0,789.0,108.0,230.0,78.0,579.0,119.0,72.0,39.0,67.0,1679.0,121.0,42.0
2022-W37,166.0,40.0,74.0,271.0,58.0,22.0,3.0,77.0,681.0,127.0,289.0,100.0,510.0,146.0,96.0,38.0,74.0,1366.0,91.0,42.0
2022-W38,178.0,45.0,98.0,230.0,61.0,24.0,4.0,62.0,650.0,156.0,241.0,76.0,608.0,215.0,97.0,45.0,81.0,1450.0,84.0,43.0
2022-W39,240.0,42.0,79.0,232.0,56.0,33.0,2.0,63.0,752.0,127.0,275.0,87.0,507.0,150.0,93.0,31.0,67.0,1614.0,114.0,38.0
2022-W40,266.0,46.0,98.0,300.0,85.0,40.0,13.0,96.0,781.0,139.0,283.0,111.0,629.0,174.0,101.0,50.0,74.0,1319.0,137.0,45.0
2022-W41,223.0,46.0,127.0,285.0,105.0,22.0,9.0,90.0,754.0,174.0,285.0,87.0,540.0,163.0,103.0,39.0,89.0,1423.0,156.0,48.0
2022-W42,275.0,59.0,89.0,479.0,81.0,47.0,10.0,100.0,887.0,168.0,307.0,111.0,832.0,167.0,106.0,53.0,70.0,1618.0,93.0,54.0
2022-W43,248.0,58.0,110.0,332.0,101.0,48.0,5.0,92.0,948.0,185.0,301.0,94.0,597.0,177.0,109.0,46.0,82.0,1859.0,121.0,35.0
2022-W44,226.0,39.0,73.0,272.0,71.0,40.0,6.0,98.0,707.0,172.0,222.0,105.0,578.0,149.0,89.0,71.0,85.0,1962.0,136.0,52.0
2022-W45,249.0,51.0,102.0,255.0,89.0,35.0,10.0,110.0,995.0,148.0,223.0,111.0,704.0,148.0,101.0,46.0,83.0,1448.0,132.0,40.0
2022-W46,215.0,51.0,123.0,304.0,85.0,22.0,12.0,87.0,715.0,106.0,247.0,96.0,527.0,158.0,111.0,55.0,78.0,1381.0,112.0,43.0
2022-W47,268.0,52.0,91.0,292.0,98.0,38.0,6.0,105.0,741.0,142.0,309.0,129.0,664.0,116.0,82.0,64.0,97.0,1811.0,79.0,34.0
2022-W48,172.0,35.0,79.0,288.0,50.0,21.0,4.0,73.0,597.0,127.0,245.0,81.0,328.0,130.0,67.0,26.0,62.0,1104.0,70.0,25.0
2022-W49,122.0,9.0,38.0,161.0,35.0,4.0,0.0,33.0,378.0,50.0,109.0,42.0,273.0,71.0,29.0,5.0,24.0,932.0,55.0,11.0
2022-W50,107.0,8.0,31.0,97.0,26.0,2.0,0.0,25.0,491.0,65.0,116.0,43.0,325.0,70.0,35.0,8.0,24.0,669.0,45.0,10.0
2022-W51,120.0,8.0,34.0,113.0,19.0,5.0,0.0,33.0,359.0,59.0,140.0,35.0,260.0,58.0,30.0,7.0,32.0,586.0,51.0,9.0
2022-W52,106.0,14.0,27.0,115.0,25.0,0.0,0.0,33.0,390.0,70.0,126.0,33.0,232.0,78.0,26.0,8.0,23.0,723.0,41.0,11.0
2023-W01,100.0,15.0,24.0,167.0,21.0,4.0,0.0,43.0,368.0,56.0,113.0,43.0,250.0,50.0,36.0,8.0,22.0,793.0,55.0,14.0
2023-W02,112.0,8.0,24.0,140.0,35.0,3.0,0.0,30.0,419.0,63.0,134.0,47.0,287.0,58.0,44.0,12.0,21.0,798.0,48.0,8.0
2023-W03,102.0,8.0,33.0,161.0,36.0,4.0,0.0,31.0,506.0,56.0,115.0,41.0,323.0,63.0,34.0,8.0,30.0,875.0,53.0,10.0
2023-W04,104.0,12.0,39.0,113.0,35.0,5.0,0.0,39.0,531.0,64.0,105.0,36.0,236.0,54.0,28.0,10.0,26.0,862.0,52.0,6.0
2023-W05,193.0,32.0,71.0,233.0,56.0,17.0,4.0,59.0,748.0,132.0,199.0,85.0,528.0,99.0,73.0,44.0,71.0,1338.0,112.0,23.0
2023-W06,232.0,47.0,92.0,339.0,84.0,30.0,5.0,73.0,831.0,155.0,254.0,112.0,582.0,136.0,76.0,38.0,101.0,1365.0,147.0,41.0
2023-W07,222.0,50.0,90.0,258.0,80.0,36.0,2.0,76.0,747.0,150.0,275.0,99.0,588.0,162.0,82.0,49.0,111.0,1451.0,108.0,55.0
2023-W08,245.0,37.0,81.0,297.0,79.0,32.0,7.0,85.0,940.0,151.0,294.0,83.0,517.0,139.0,86.0,41.0,66.0,1499.0,141.0,47.0
2023-W09,253.0,42.0,101.0,226.0,108.0,44.0,3.0,89.0,946.0,161.0,312.0,108.0,601.0,152.0,99.0,69.0,110.0,1723.0,120.0,48.0
2023-W10,278.0,60.0,104.0,400.0,103.0,47.0,8.0,101.0,985.0,205.0,270.0,124.0,598.0,149.0,98.0,51.0,92.0,1837.0,135.0,39.0
2023-W11,303.0,55.0,118.0,295.0,92.0,33.0,11.0,91.0,980.0,176.0,302.0,130.0,499.0,189.0,94.0,70.0,100.0,1557.0,125.0,51.0
2023-W12,303.0,54.0,109.0,234.0,102.0,31.0,9.0,104.0,837.0,165.0,308.0,113.0,786.0,179.0,124.0,49.0,89.0,1713.0,112.0,49.0
2023-W13,313.0,36.0,83.0,296.0,91.0,51.0,15.0,80.0,989.0,159.0,361.0,96.0,485.0,232.0,97.0,54.0,83.0,1536.0,136.0,48.0
2023-W14,252.0,55.0,69.0,383.0,93.0,36.0,9.0,118.0,1002.0,199.0,326.0,117.0,628.0,193.0,82.0,83.0,89.0,1363.0,185.0,48.0
2023-W15,309.0,72.0,96.0,334.0,74.0,57.0,10.0,110.0,661.0,187.0,357.0,131.0,902.0,158.0,115.0,53.0,72.0,1589.0,134.0,54.0
