Producto_codigo,Semana,Prediccion,Lower_Bound_95,Upper_Bound_95
CEO 001,W+1,1760.79,277.74,3243.85
CEO 001,W+2,944.87,0.0,2427.92
CEO 001,W+3,2035.61,552.55,3518.67
CEO 001,W+4,3562.39,2079.33,5045.44
CEO 001,W+5,1121.77,0.0,2604.82
CEO 001,W+6,701.73,0.0,2184.79
CEO 001,W+7,3314.18,1831.12,4797.24
CEO 001,W+8,2552.63,1069.58,4035.69
CEO 001,W+9,628.48,0.0,2111.54
CEO 001,W+10,1733.77,250.72,3216.83
CEO 001,W+11,514.6,0.0,1997.66
CEO 001,W+12,309.1,0.0,1792.16
CEO 001,W+13,1237.6,0.0,2720.65
CEO 001,W+14,0.0,0.0,1483.06
CEO 001,W+15,0.0,0.0,1483.06
CEO 001,W+16,135.87,0.0,1618.92
CEO 001,W+17,0.0,0.0,1483.06
CEO 001,W+18,1247.21,0.0,2730.26
CEO 001,W+19,0.0,0.0,1483.06
CEO 001,W+20,0.0,0.0,1483.06
CEO 001,W+21,2579.88,1096.82,4062.94
CEO 001,W+22,1046.46,0.0,2529.51
CEO 001,W+23,1116.22,0.0,2599.28
CEO 001,W+24,0.0,0.0,1483.06
CEO 001,W+25,264.91,0.0,1747.96
CEO 001,W+26,1022.0,0.0,2505.05
CEO 001,W+27,0.0,0.0,1483.06
CEO 001,W+28,1242.08,0.0,2725.14
CEO 001,W+29,472.04,0.0,1955.09
CEO 001,W+30,653.77,0.0,2136.83
CEO 001,W+31,394.54,0.0,1877.6
CEO 001,W+32,2661.88,1178.83,4144.94
CEO 001,W+33,1308.82,0.0,2791.88
CEO 001,W+34,140.17,0.0,1623.23
CEO 001,W+35,1599.26,116.2,3082.32
CEO 001,W+36,97.82,0.0,1580.88
CEO 001,W+37,1047.65,0.0,2530.71
CEO 001,W+38,0.0,0.0,1483.06
CEO 001,W+39,0.0,0.0,1483.06
CEO 001,W+40,1007.88,0.0,2490.94
CEO 001,W+41,1581.16,98.11,3064.22
CEO 001,W+42,1256.41,0.0,2739.47
CEO 001,W+43,995.53,0.0,2478.59
CEO 001,W+44,826.99,0.0,2310.05
CEO 001,W+45,32.22,0.0,1515.27
CEO 001,W+46,406.76,0.0,1889.82
CEO 001,W+47,646.3,0.0,2129.36
CEO 001,W+48,1594.5,111.44,3077.56
CEO 001,W+49,1330.78,0.0,2813.84
CEO 001,W+50,124.26,0.0,1607.32
CEO 001,W+51,1049.53,0.0,2532.59
CEO 001,W+52,846.21,0.0,2329.27
CEO 006,W+1,3449.73,2194.45,4705.01
CEO 006,W+2,6254.82,4999.54,7510.09
CEO 006,W+3,11309.84,10054.56,12565.12
CEO 006,W+4,19739.5,18484.22,20994.78
CEO 006,W+5,30004.24,28748.96,31259.52
CEO 006,W+6,45039.77,43784.49,46295.05
CEO 006,W+7,69121.18,67865.9,70376.46
CEO 006,W+8,103451.04,102195.76,104706.32
CEO 006,W+9,152346.95,151091.67,153602.23
CEO 006,W+10,225056.55,223801.27,226311.82
CEO 006,W+11,330447.27,329191.99,331702.55
CEO 006,W+12,484785.97,483530.69,486041.25
CEO 006,W+13,711539.37,710284.09,712794.64
CEO 006,W+14,1041394.41,1040139.13,1042649.69
CEO 006,W+15,1524652.47,1523397.19,1525907.74
CEO 006,W+16,2233507.26,2232251.98,2234762.54
CEO 006,W+17,3271121.7,3269866.42,3272376.98
CEO 006,W+18,4791878.17,4790622.9,4793133.45
CEO 006,W+19,7017713.53,7016458.25,7018968.8
CEO 006,W+20,10276762.23,10275506.95,10278017.51
CEO 006,W+21,15051911.87,15050656.59,15053167.15
CEO 006,W+22,22043083.26,22041827.98,22044338.53
CEO 006,W+23,32281163.31,32279908.03,32282418.59
CEO 006,W+24,47272460.2,47271204.93,47273715.48
CEO 006,W+25,69226367.87,69225112.59,69227623.14
CEO 006,W+26,101376059.01,101374803.73,101377314.29
CEO 006,W+27,148454820.74,148453565.46,148456076.02
CEO 006,W+28,217397841.58,217396586.3,217399096.85
CEO 006,W+29,318356748.79,318355493.52,318358004.07
CEO 006,W+30,466200490.95,466199235.67,466201746.23
CEO 006,W+31,682701582.84,682700327.57,682702838.12
CEO 006,W+32,999746005.46,999744750.18,999747260.74
CEO 006,W+33,1464022240.4,1464020985.12,1464023495.68
CEO 006,W+34,2143904311.33,2143903056.05,2143905566.61
CEO 006,W+35,3139520016.08,3139518760.8,3139521271.36
CEO 006,W+36,4597491162.74,4597489907.46,4597492418.02
CEO 006,W+37,6732534581.3,6732533326.02,6732535836.58
CEO 006,W+38,9859075498.46,9859074243.19,9859076753.74
