Semana,CEO 001,CEO 006,CER 001,CER 004,CER 005,CER 008,CERE 002
W+1,1760.79,3449.73,10391.21,1243.37,4205.77,892.16,822.9
W+2,944.87,6254.82,11882.23,1040.43,3400.13,702.86,774.25
W+3,2035.61,11309.84,14666.5,1308.74,4386.73,950.56,987.81
W+4,3562.39,19739.5,18472.13,1600.92,5875.45,1168.13,1139.17
W+5,1121.77,30004.24,17129.29,1010.46,3646.48,672.71,791.39
W+6,701.73,45039.77,16231.86,1010.94,3149.27,696.76,751.71
W+7,3314.18,69121.18,19503.94,1596.76,5581.7,1195.94,1216.83
W+8,2552.63,103451.04,19952.38,1331.92,4976.93,946.61,1046.87
W+9,628.48,152346.95,17668.47,941.08,3143.4,605.81,672.35
W+10,1733.77,225056.55,18208.96,1236.07,4095.15,872.99,818.0
W+11,514.6,330447.27,16535.31,947.28,2972.03,623.41,701.2
W+12,309.1,484785.97,15417.56,929.54,2725.57,611.77,702.46
W+13,1237.6,711539.37,16056.43,1139.86,3583.66,790.98,869.51
W+14,0.0,1041394.41,12351.8,533.54,1062.94,271.33,373.53
W+15,0.0,1524652.47,10270.36,566.72,767.33,308.18,287.06
W+16,135.87,2233507.26,11075.74,900.33,2149.8,600.56,551.98
W+17,0.0,3271121.7,10815.35,789.78,1934.12,492.63,464.42
W+18,1247.21,4791878.17,13047.18,1153.53,3465.51,807.97,744.57
W+19,0.0,7017713.53,12391.3,845.73,2393.0,537.31,621.85
W+20,0.0,10276762.23,11106.55,699.73,1598.26,415.87,393.24
W+21,2579.88,15051911.87,15167.12,1433.3,4652.47,1068.66,975.56
W+22,1046.46,22043083.26,15040.8,1030.77,3461.82,662.64,688.36
W+23,1116.22,32281163.31,15441.96,1103.62,3512.81,775.59,715.78
W+24,0.0,47272460.2,13318.6,741.85,1953.25,448.75,539.89
W+25,264.91,69226367.87,13315.83,939.0,2539.16,625.1,583.67
W+26,1022.0,101376059.01,14340.23,1094.05,3344.7,770.68,706.85
W+27,0.0,148454820.74,13122.9,824.35,2274.16,519.02,605.68
W+28,1242.08,217397841.58,14594.55,1152.06,3537.24,806.63,753.1
W+29,472.04,318356748.79,14162.21,955.45,2887.19,630.71,709.94
W+30,653.77,466200490.95,14326.88,1024.32,3040.04,695.37,764.71
W+31,394.54,682701582.84,14017.92,960.83,2798.87,653.84,714.41
W+32,2661.88,999746005.46,17147.89,1465.25,4935.47,1083.66,1114.92
W+33,1308.82,1464022240.4,16733.49,1084.5,3760.6,708.33,852.94
W+34,140.17,2143904311.33,15107.54,880.34,2612.07,585.23,650.81
W+35,1599.26,3139520016.08,16412.08,1224.4,3928.62,862.82,811.22
W+36,97.82,4597491162.74,14756.81,860.59,2561.85,549.31,634.86
W+37,1047.65,6732534581.3,15390.17,1105.61,3401.69,761.58,717.12
W+38,0.0,9859075498.46,13283.75,741.37,1928.26,448.21,540.89
W+39,0.0,14437560001.73,12641.77,840.19,2106.53,540.78,506.62
W+40,1007.88,21142260779.8,13932.3,1100.55,3277.6,757.24,713.4
W+41,1581.16,30960576805.82,15375.94,1205.87,3918.18,844.0,909.92
W+42,1256.41,45338448032.28,15735.68,1113.81,3660.17,765.03,756.27
W+43,995.53,66393299353.65,15683.15,1068.61,3408.49,727.02,801.16
W+44,826.99,97225872488.31,15470.05,1041.72,3235.17,722.65,779.91
W+45,32.22,142376870808.24,14221.59,874.71,2470.96,580.33,647.44
W+46,406.76,208495669232.54,14120.91,967.98,2784.85,644.22,608.76
W+47,646.3,305319563448.16,14304.68,1024.57,3020.68,695.43,639.01
W+48,1594.5,447107780227.31,15737.0,1222.28,3932.62,876.47,796.05
W+49,1330.78,654741427372.13,16082.96,1129.28,3731.68,778.15,849.44
W+50,124.26,958798649812.5,14640.75,875.47,2586.86,562.38,648.54
W+51,1049.53,1404057865944.98,15308.03,1104.52,3404.74,760.53,717.65
W+52,846.21,2056092267516.19,15231.48,1043.58,3243.63,705.61,782.18
