,historico_media,historico_std,historico_min,historico_max,prediccion_media,prediccion_std
CP_01,181.11711711711712,81.19099257043153,2.0,335.0,193.61766052246094,62.89506530761719
CP_02,31.89189189189189,21.034870812877333,0.0,72.0,40.453731536865234,16.521709442138672
CP_03,66.65765765765765,35.0008997298758,1.0,134.0,62.147342681884766,17.004762649536133
CP_04,214.32432432432432,99.50568476332967,2.0,479.0,190.49063110351562,59.37049102783203
CP_05,57.909909909909906,31.0824389310394,0.0,129.0,54.98268127441406,19.303451538085938
CP_06,22.28828828828829,17.569623349338215,0.0,57.0,35.851463317871094,16.96002769470215
CP_07,4.288288288288288,4.61565566850726,0.0,18.0,10.236117964753738,15.800143831228553
CP_08,62.58108108108108,31.99465330758727,0.0,134.0,59.493350982666016,19.327972412109375
CP_09,665.3738738738739,282.89276267391745,2.0,1292.0,582.8345947265625,195.05276489257812
CP_10,113.83333333333333,55.4837381148314,2.0,220.0,90.38959503173828,37.628231048583984
CP_11,199.04504504504504,87.74804095627798,2.0,363.0,197.11997985839844,63.944278717041016
CP_12,75.63063063063063,38.7240009677933,0.0,173.0,62.15152359008789,18.16592025756836
CP_13,447.15315315315314,190.8893457212252,2.0,902.0,549.3358764648438,160.91415405273438
CP_14,118.52702702702703,56.85540922223758,2.0,242.0,106.21626281738281,41.108436584472656
CR_01,66.43693693693693,33.42213062991152,1.0,138.0,59.55109405517578,17.230575561523438
CR_02,33.085585585585584,21.7907094297061,0.0,83.0,39.4407958984375,19.094104766845703
CR_03,57.25675675675676,32.091814009468365,0.0,122.0,63.21078109741211,21.76677131652832
CT_01,1163.3648648648648,484.7884067364471,2.0,2045.0,1010.9155883789062,396.8913879394531
MECO_01,91.40990990990991,45.50515752366038,2.0,211.0,64.59956359863281,24.17929458618164
MZ_01,31.82882882882883,21.607837197602354,0.0,86.0,39.550086975097656,15.379664421081543
