Código;Descripción;Fecha;Documento;Número;Bodega;Entrada;Salida;Saldo;Valor Unitario;Entrada.1;Salida.1;Saldo.1;Costo Unitario;Empresa_Cliente;Canal_Venta;Punto_Venta
(Automático);CAJA DE PASE 200X200X75MM (F.G.1.50);;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
(Automático);CAJA DE PASE 200X200X75MM (F.G.1.50);2021-01-01;Apertura;58.0;Almacen Central;135.0;0.0;135.0;1.0;135.0;0.0;135.0;1.0;;;
(Automático);CAJA DE PASE 200X200X75MM (F.G.1.50);2021-03-22;Guía de remisión - R;164.0;Almacen Central;0.0;135.0;0.0;0.0;0.0;135.0;0.0;1.0;SETECOM AIR;Presencial;Sector B
'1;PLANCHA GALVANIZADA F°G° 1.45 (1200x2400mm);;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'10;AUTORROSCANTES 8X3/8;;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'10;AUTORROSCANTES 8X3/8;2021-01-08;Entrada por Compra -;67.0;Almacen Central;4.0;0.0;4.0;14.40678;57.63;0.0;57.63;14.40678;;;
'10;AUTORROSCANTES 8X3/8;2021-01-13;Entrada por Compra -;10.0;Almacen Central;7.0;0.0;11.0;14.40677;100.85;0.0;158.48;14.40701;;;
'10;AUTORROSCANTES 8X3/8;2021-02-06;Entrada por Compra -;22.0;Almacen Central;6.0;0.0;17.0;15.084746;90.51;0.0;248.99;14.6463;;;
'10;AUTORROSCANTES 8X3/8;2021-04-23;Entrada por Compra -;70.0;Almacen Central;12.0;0.0;29.0;13.98305;167.8;0.0;416.79;14.371968;;;
'11;PEGAMENTO DE 1/4  AZUL;;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'11;PEGAMENTO DE 1/4  AZUL;2021-01-01;Apertura;10.0;Almacen Central;50.0;0.0;50.0;1.0;50.0;0.0;50.0;1.0;;;
'11;PEGAMENTO DE 1/4  AZUL;2021-01-01;Guía de remisión - R;5.0;Almacen Central;0.0;50.0;0.0;0.0;0.0;50.0;0.0;1.0;SETECOM AIR;Presencial;Sector A
'11;PEGAMENTO DE 1/4  AZUL;2021-01-07;Entrada por Compra -;6.0;Almacen Central;50.0;0.0;50.0;24.57627;1228.81;0.0;1228.81;24.5762;;;
'12;MATRIZ DE 4x4x2: 2PUNZONES DE 3/4, 1 CUCHILLA,2BOCINAS CON TTO, 2 GUIAS CON TTO, 1 BASE 3/4, 2 ESQUI;;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'12;MATRIZ DE 4x4x2: 2PUNZONES DE 3/4, 1 CUCHILLA,2BOCINAS CON TTO, 2 GUIAS CON TTO, 1 BASE 3/4, 2 ESQUI;2021-01-05;Entrada por Compra -;4.0;Almacen Central;1.0;0.0;1.0;2500.0;2500.0;0.0;2500.0;2500.0;;;
'13;GUANTE DE POLIESTER;;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'13;GUANTE DE POLIESTER;2021-01-08;Entrada por Compra -;15.0;Almacen Central;12.0;0.0;12.0;2.118644;25.42;0.0;25.42;2.118488;;;
'13;GUANTE DE POLIESTER;2021-03-27;Entrada por Compra -;43.0;Almacen Central;12.0;0.0;24.0;2.12;25.44;0.0;50.86;2.119496;;;
'13;GUANTE DE POLIESTER;2021-03-31;Entrada por Compra -;46.0;Almacen Central;12.0;0.0;36.0;2.542373;30.51;0.0;81.37;2.330997;;;
'14;GUANTE NITRON CLUTE;;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'14;GUANTE NITRON CLUTE;2021-01-08;Entrada por Compra -;15.0;Almacen Central;12.0;0.0;12.0;4.590396;55.08;0.0;55.08;4.590198;;;
'14;GUANTE NITRON CLUTE;2021-03-27;Entrada por Compra -;43.0;Almacen Central;12.0;0.0;24.0;4.8;57.6;0.0;112.68;4.730066;;;
'14;GUANTE NITRON CLUTE;2021-03-31;Entrada por Compra -;46.0;Almacen Central;12.0;0.0;36.0;5.932203;71.19;0.0;183.87;5.331282;;;
'15;MATRIZ DE CAJA OCT 3/4, 1PUNZON DE 3/4, 1CIZALLA,2 GUIAS, 2 BOCINAS TTO;;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
