Periodo del;01/01/2021 al 31/12/2021;;;;;;;;;;;;
Código;Descripción;Fecha;Documento;Número;Bodega;Entrada;Salida;Saldo;Valor Unitario;Entrada;Salida;Saldo;Costo Unitario
"(Automático)";"CAJA DE PASE 200X200X75MM (F.G.1.50)";;Saldo Anterior;;;;;0;;;;0.00;0
"(Automático)";"CAJA DE PASE 200X200X75MM (F.G.1.50)";01/01/2021;Apertura;58;Almacen Central;135;0;135;1;135.00;0.00;135.00;1
"(Automático)";"CAJA DE PASE 200X200X75MM (F.G.1.50)";22/03/2021;Guía de remisión - R;164;Almacen Central;0;135;0;0;0.00;135.00;0.00;1
"'1";"PLANCHA GALVANIZADA F°G° 1.45 (1200x2400mm)";;Saldo Anterior;;;;;0;;;;0.00;0
"'10";"AUTORROSCANTES 8X3/8";;Saldo Anterior;;;;;0;;;;0.00;0
"'10";"AUTORROSCANTES 8X3/8";08/01/2021;Entrada por Compra -;67;Almacen Central;4;0;4;14.40678;57.63;0.00;57.63;14.40678
"'10";"AUTORROSCANTES 8X3/8";13/01/2021;Entrada por Compra -;10;Almacen Central;7;0;11;14.40677;100.85;0.00;158.48;14.40701
"'10";"AUTORROSCANTES 8X3/8";06/02/2021;Entrada por Compra -;22;Almacen Central;6;0;17;15.084746;90.51;0.00;248.99;14.6463
"'10";"AUTORROSCANTES 8X3/8";23/04/2021;Entrada por Compra -;70;Almacen Central;12;0;29;13.98305;167.80;0.00;416.79;14.371968
"'11";"PEGAMENTO DE 1/4  AZUL";;Saldo Anterior;;;;;0;;;;0.00;0
"'11";"PEGAMENTO DE 1/4  AZUL";01/01/2021;Apertura;10;Almacen Central;50;0;50;1;50.00;0.00;50.00;1
"'11";"PEGAMENTO DE 1/4  AZUL";01/01/2021;Guía de remisión - R;5;Almacen Central;0;50;0;0;0.00;50.00;0.00;1
"'11";"PEGAMENTO DE 1/4  AZUL";07/01/2021;Entrada por Compra -;6;Almacen Central;50;0;50;24.57627;1228.81;0.00;1228.81;24.5762
"'12";"MATRIZ DE 4x4x2: 2PUNZONES DE 3/4, 1 CUCHILLA,2BOCINAS CON TTO, 2 GUIAS CON TTO, 1 BASE 3/4, 2 ESQUI";;Saldo Anterior;;;;;0;;;;0.00;0
"'12";"MATRIZ DE 4x4x2: 2PUNZONES DE 3/4, 1 CUCHILLA,2BOCINAS CON TTO, 2 GUIAS CON TTO, 1 BASE 3/4, 2 ESQUI";05/01/2021;Entrada por Compra -;4;Almacen Central;1;0;1;2500;2500.00;0.00;2500.00;2500
"'13";"GUANTE DE POLIESTER";;Saldo Anterior;;;;;0;;;;0.00;0
"'13";"GUANTE DE POLIESTER";08/01/2021;Entrada por Compra -;15;Almacen Central;12;0;12;2.118644;25.42;0.00;25.42;2.118488
"'13";"GUANTE DE POLIESTER";27/03/2021;Entrada por Compra -;43;Almacen Central;12;0;24;2.12;25.44;0.00;50.86;2.119496
"'13";"GUANTE DE POLIESTER";31/03/2021;Entrada por Compra -;46;Almacen Central;12;0;36;2.542373;30.51;0.00;81.37;2.330997
"'14";"GUANTE NITRON CLUTE";;Saldo Anterior;;;;;0;;;;0.00;0
"'14";"GUANTE NITRON CLUTE";08/01/2021;Entrada por Compra -;15;Almacen Central;12;0;12;4.590396;55.08;0.00;55.08;4.590198
"'14";"GUANTE NITRON CLUTE";27/03/2021;Entrada por Compra -;43;Almacen Central;12;0;24;4.8;57.60;0.00;112.68;4.730066
"'14";"GUANTE NITRON CLUTE";31/03/2021;Entrada por Compra -;46;Almacen Central;12;0;36;5.932203;71.19;0.00;183.87;5.331282
"'15";"MATRIZ DE CAJA OCT 3/4, 1PUNZON DE 3/4, 1CIZALLA,2 GUIAS, 2 BOCINAS TTO";;Saldo Anterior;;;;;0;;;;0.00;0
"'15";"MATRIZ DE CAJA OCT 3/4, 1PUNZON DE 3/4, 1CIZALLA,2 GUIAS, 2 BOCINAS TTO";01/03/2021;Entrada por Compra -;48;Almacen Central;1;0;1;4500;4500.00;0.00;4500.00;4500
"'16";"MATRIZ DE OCT PROGRESIVA CORTE Y OREJAS COTE Y CIZALLA, 2 GUIAS 2 BOCINAS TTO";;Saldo Anterior;;;;;0;;;;0.00;0
"'16";"MATRIZ DE OCT PROGRESIVA CORTE Y OREJAS COTE Y CIZALLA, 2 GUIAS 2 BOCINAS TTO";01/03/2021;Entrada por Compra -;47;Almacen Central;1;0;1;6000;6000.00;0.00;6000.00;6000
"'17";"PLUMON FAB 23 NEGRO";;Saldo Anterior;;;;;0;;;;0.00;0
"'17";"PLUMON FAB 23 NEGRO";25/01/2021;Entrada por Compra -;13;Almacen Central;24;0;24;1.94209;46.61;0.00;46.61;1.942086
"'18";"PLUMON FAB 23 VERDE";;Saldo Anterior;;;;;0;;;;0.00;0
"'18";"PLUMON FAB 23 VERDE";25/01/2021;Entrada por Compra -;13;Almacen Central;24;0;24;1.94209;46.61;0.00;46.61;1.942086
"'19";"STRECH FILM 20X3KG";;Saldo Anterior;;;;;0;;;;0.00;0
"'19";"STRECH FILM 20X3KG";27/01/2021;Entrada por Compra -;31;Almacen Central;4;0;4;22.24576;88.98;0.00;88.98;22.24538
"'19";"STRECH FILM 20X3KG";02/02/2021;Entrada por Compra -;32;Almacen Central;4;0;8;20.127118;80.51;0.00;169.49;20.83346
"'19";"STRECH FILM 20X3KG";06/03/2021;Entrada por Compra -;33;Almacen Central;4;0;12;20.127119;80.51;0.00;250.00;20.48048
"'19";"STRECH FILM 20X3KG";25/03/2021;Entrada por Compra -;41;Almacen Central;4;0;16;20.127118;80.51;0.00;330.51;20.339288
