Código;Num_Transacciones;Entrada_Total;Entrada_Promedio;Entrada_Std;Entrada_Min;Entrada_Max;Descripción;Acumulado_pct
CER 001;343;816238.0;2379.7026239067054;3932.516241947417;1.0;62068.0;CAJA RECT 100X55X40MM 1/2 (F. G. 0.75).;18.3318060534007
CEO 001;245;565460.0;2308.0;3504.01555127921;1.0;43460.0;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;31.031414563364656
CER 005;259;549894.0;2123.1428571428573;2446.095597745759;1.0;27524.0;CAJA RECT 100X55X40MM 3/4 (F. G. 0.75).;43.38142786576999
CEO 006;227;498564.0;2196.31718061674;3060.0860789291078;1.0;37855.0;CAJA OCTOG 100X40MM  3/4 (F. G. 0.75).;54.5786259295794
CERE 002;179;249969.0;1396.4748603351954;2587.384376873736;1.0;30051.0;CAJA RECT 100X60X50MM BR 1/2 (F.G. 1.20).;60.19265422446707
CER 004;145;147151.0;1014.8344827586207;905.4395189154233;1.0;3894.0;CAJA RECT 100X55X40MM 1/2 (F. G. 1.20).;63.497503536265796
CER 008;159;142504.0;896.2515723270441;773.9472144411292;1.0;3847.0;CAJA RECT 100X55X40MM 3/4 (F. G. 1.20).;66.69798634867323
TPG-00001;123;124417.0;1011.520325203252;1654.4862079474758;1.0;12272.0;TAPA UN GANG (F.G. 0.75).;69.492255071455
CEO 002;90;122942.0;1366.0222222222221;1367.333425368457;1.0;7264.0;CAJA OCTOG 100X40MM  1/2 (F. G. 0.90).;72.25339691956448
CP-00008;255;99336.0;389.5529411764706;543.1507129603597;1.0;6906.0;CAJA DE PASE 100X100X50MM  3/4 (F. G. 0.75).;74.48437401952873
CEO 009;134;99062.0;739.2686567164179;683.5723299610711;1.0;3078.0;CAJA OCTOG 100X40MM  3/4 (F. G. 1.20).;76.70919738141825
CEO 004;89;80124.0;900.2696629213483;808.4519545521573;1.0;4377.0;CAJA OCTOG 100X40MM  1/2 (F. G. 1.20).;78.50869413141356
CEO-014;29;58562.0;2019.3793103448277;2165.268861791155;1.0;10000.0;CAJA OCTOG 100X40MM HCO ESP 1/2 (F.G 0.75);79.82393212094512
TPC-00001;71;57869.0;815.056338028169;798.4395654261047;1.0;3575.0;TAPA CIEGA OCTOG. (F. G. 0.75).;81.1236060941052
CP-00002;149;49350.0;331.20805369127515;727.1967211738868;3.0;7828.0;CAJA DE PASE 100X100X50MM  1/2 (F. G. 0.75).;82.23195271449696
CP-00007;84;40183.0;478.3690476190476;611.2438588108856;1.0;3817.0;CAJA DE PASE 100X100X75MM  CIEGA (F. G. 0.80);83.13441861616265
TPC-00006;43;36638.0;852.046511627907;950.6604209076964;1.0;3709.0;TAPA CIEGA RECT. (F. G. 0.75).;83.95726772412442
TPG-00004;87;33835.0;388.9080459770115;752.9763520821716;1.0;5709.0;TAPA UN GANG (F.G. 1.20).;84.71716454075977
CER 009;68;27064.0;398.0;494.00664688258917;1.0;2300.0;CAJA RECT 100X55X40MM 3/4 (F. G. 1.50).;85.32499215847574
TPH-00001;29;26707.0;920.9310344827586;796.0073999581772;10.0;2804.0;TAPA OCTOG  1/2 (F. G. 0.75).;85.92480194957609
CP-00011;166;21715.0;130.8132530120482;153.77183433715805;1.0;664.0;CAJA DE PASE 100X100X50MM  3/4 (F. G. 1.20).;86.41249692144655
CERE 001;31;20884.0;673.6774193548387;838.1834082147246;2.0;3000.0;CAJA RECT 100X60X50MM BC 1/2 (F.G. 0.90);86.8815285490101
TPH-00006;24;20762.0;865.0833333333334;1428.2539938731109;3.0;6920.0;TAPA OCTOG  3/4 (F. G. 0.75).;87.34782019100753
'46;32;20113.0;628.53125;600.2658005000785;1.0;2041.0;CAJA RECT 100X55X40MM 1/2 (F. G. 1.50);87.79953600814916
CP-00001;50;19468.0;389.36;311.48418638407145;1.0;1450.0;CAJA DE PASE 100X100X40MM Ø 3/4 (F.G. 0.75);88.23676583602732
CER 003;14;18489.0;1320.642857142857;1954.839344457074;1.0;7691.0;CAJA RECT 100X55X40MM 1/2 (F. G. 1.50).;88.65200840268228
CEO 005;39;18451.0;473.1025641025641;398.4627562911584;1.0;1260.0;CAJA OCTOG 100X40MM  1/2 (F. G. 1.50).;89.06639753121011
CP-00005;140;17813.0;127.23571428571428;165.26632575193193;1.0;1058.0;CAJA DE PASE 100X100X50MM  1/2 (F. G. 1.20).;89.46645788276105
CEO 010;54;17771.0;329.0925925925926;530.108720373277;1.0;2260.0;CAJA OCTOG 100X40MM  3/4 (F. G. 1.50).;89.8655749605925
CERE 005;55;16741.0;304.3818181818182;542.1070855983089;1.0;3409.0;CAJA RECT 100X60X50MM BR 3/4 (F.G. 1.20).;90.24155937339853
'2;159;12900.0;81.13207547169812;42.878414091850956;1.0;220.0;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);90.53127915866811
CP-00012;123;12635.0;102.72357723577235;207.09403506038095;1.0;1740.0;CAJA DE PASE 100X100X50MM  3/4 (F.G. 1.50).;90.81504733594572
CEO-038;2;11321.0;5660.5;14.849242404917497;5650.0;5671.0;CAJA OCTOG 100X40MM 3/4 (F. G. 0.80).;91.06930452114237
CER 014;2;11156.0;5578.0;7393.508504086541;350.0;10806.0;CAJA RECT 100X55X40MM 1/2 (F. G. 0.80).;91.31985598815535
CERE 006;48;10816.0;225.33333333333334;290.88568591373405;1.0;1530.0;CAJA RECT 100X60X50MM BR 3/4 (F.G. 1.50).;91.56277142982015
CEO-015;20;10446.0;522.3;1204.0122879247056;1.0;3962.0;CAJA OCTOG 100X55MM BR 3/4 (F.G 1.20).;91.79737707919425
CERE-010;6;10284.0;1714.0;3818.7990258718773;9.0;9500.0;CAJA RECT 100X50X50MM 3/4 (F.G. 0.90);92.02834438707893
CEO-039;3;9939.0;3313.0;2044.8171067359544;2000.0;5669.0;CAJA OCTOG 100X40MM 1/2 (F. G. 0.80).;92.251563375125
CP-00014;78;9033.0;115.8076923076923;118.04666232263615;1.0;608.0;CAJA DE PASE 100X100X50MM CIEGA (F. G. 0.75).;92.45443460150796
CEO-016;26;8633.0;332.03846153846155;393.9517209780133;1.0;1384.0;CAJA OCTOG 100X55MM BR 1/2 (F.G 1.20).;92.64832226865774
CP-00024;83;7503.0;90.39759036144578;133.97359948876675;1.0;1000.0;CAJA DE PASE 150X150X100MM (F. G. 0.75).;92.81683138097384
TPC-00004;21;7119.0;339.0;455.1955623685275;4.0;1642.0;TAPA CIEGA OCTOG. (F.G. 1.20).;92.97671627642609
CERE-015;7;6722.0;960.2857142857143;1121.2012478120232;50.0;3200.0;CAJA RECT 100X60X50MM BC 1/2 (F.G. 1.20).;93.12768498933943
CEO-023;15;6487.0;432.46666666666664;381.61458991775356;8.0;1000.0;CAJA OCTOG 100X50MM BC 1/2 (F. G. 0.90);93.27337586120329
CER 015;3;6450.0;2150.0;2857.8838324886474;500.0;5450.0;CAJA RECT 100X55X40MM 3/4 (F. G. 0.80).;93.41823575383808
CEO 003;7;6336.0;905.1428571428571;1476.2983470571962;36.0;3838.0;CAJA OCTOG 100X40MM  1/2 (F. G. 1.15);93.56053533209142
CEO-040;14;6186.0;441.85714285714283;502.462682447908;1.0;1818.0;CAJA OCTOG 100X55MM BR 3/4 (F.G 1.50);93.69946607563232
