Código;Num_Transacciones;Salida_Total;Salida_Promedio;Salida_Std;Salida_Min;Salida_Max;Descripción;Acumulado_pct
CER 001;2541;803789.0;316.3278236914601;2458.4633986795066;1.0;120955.0;CAJA RECT 100X55X40MM 1/2 (F. G. 0.75).;18.397111737524785
CEO 001;2156;555047.0;257.44294990723563;2050.596338364887;1.0;92054.0;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;31.101019950473603
CER 005;2337;537628.0;230.05049208386822;1523.0519131516603;1.0;71732.0;CAJA RECT 100X55X40MM 3/4 (F. G. 0.75).;43.406242327517795
CEO 006;2188;488681.0;223.34597806215723;1787.5236475705622;1.0;81971.0;CAJA OCTOG 100X40MM  3/4 (F. G. 0.75).;54.5911664319847
CERE 002;226;249967.0;1106.0486725663716;1072.7803678388475;1.0;8500.0;CAJA RECT 100X60X50MM BR 1/2 (F.G. 1.20).;60.31240773995714
CER 004;508;144104.0;283.6692913385827;499.10201895735446;1.0;5322.0;CAJA RECT 100X55X40MM 1/2 (F. G. 1.20).;63.61065813878602
CER 008;699;140659.0;201.22889842632333;402.77275969771773;1.0;6405.0;CAJA RECT 100X55X40MM 3/4 (F. G. 1.20).;66.83005942430809
CEO 002;122;122589.0;1004.827868852459;1115.6293016594;1.0;6000.0;CAJA OCTOG 100X40MM  1/2 (F. G. 0.90).;69.63587479474913
TPG-00001;937;119163.0;127.17502668089648;599.4168937353408;1.0;15928.0;TAPA UN GANG (F.G. 0.75).;72.3632759236258
CP-00008;1585;98541.0;62.17097791798107;203.4711602318025;1.0;6736.0;CAJA DE PASE 100X100X50MM  3/4 (F. G. 0.75).;74.61868099601102
CEO 009;547;96553.0;176.51371115173674;363.716028201445;1.0;5887.0;CAJA OCTOG 100X40MM  3/4 (F. G. 1.20).;76.82858475134137
CEO 004;415;77795.0;187.4578313253012;266.5448771345765;1.0;2905.0;CAJA OCTOG 100X40MM  1/2 (F. G. 1.20).;78.60915565691577
CEO-014;19;58562.0;3082.2105263157896;1996.5707984482729;1.0;10000.0;CAJA OCTOG 100X40MM HCO ESP 1/2 (F.G 0.75);79.94952191917231
TPC-00001;477;57039.0;119.57861635220125;358.8253018850139;1.0;5312.0;TAPA CIEGA OCTOG. (F. G. 0.75).;81.25502977807145
CP-00002;693;47757.0;68.91341991341992;346.13485294562884;1.0;7940.0;CAJA DE PASE 100X100X50MM  1/2 (F. G. 0.75).;82.34809134677788
CP-00007;255;40183.0;157.58039215686276;609.8494654258219;1.0;8887.0;CAJA DE PASE 100X100X75MM  CIEGA (F. G. 0.80);83.26779930614154
TPC-00006;421;36045.0;85.61757719714964;277.034239889691;1.0;3717.0;TAPA CIEGA RECT. (F. G. 0.75).;84.09279677759123
TPG-00004;266;32985.0;124.00375939849624;245.32508272133256;1.0;2663.0;TAPA UN GANG (F.G. 1.20).;84.84775701051586
