Código;Stock_Min;Stock_Promedio;Stock_Max;Stock_Std;Num_Registros;Bodega_Principal
CER 001;-3103.0;15234.58774662513;135129.0;24210.860325770995;2889;Almacen Punto de Ventas 1
CEO 001;0.0;13631.781795511222;103997.0;21960.74526435003;2406;Almacen Punto de Ventas 1
CEO 006;0.0;11738.731818181817;91251.0;17403.455271518425;2420;Almacen Punto de Ventas 1
CER 005;-372.0;10031.924644367551;83578.0;13267.894571791181;2601;Almacen Punto de Ventas 1
CER 014;0.0;6249.333333333333;10806.0;3436.7510127749324;15;Almacen Punto de Ventas 1
CEO-039;0.0;4943.714285714285;7939.0;2050.581704719685;35;Almacen Punto de Ventas 1
CERE 002;0.0;4448.451219512195;38581.0;8185.391809475687;410;Almacen Central
CEO-038;0.0;4103.235294117647;7540.0;2087.4779194451667;34;Almacen Punto de Ventas 1
CER 003;0.0;3527.9268292682927;10047.0;3452.2524486937796;41;Almacen Central
CEO 002;0.0;3511.4700460829495;19399.0;4417.34062051631;217;Almacen Central
TPG-00001;0.0;2939.493896713615;22493.0;3909.751590119031;1065;Almacen Punto de Ventas 1
CER 015;0.0;2759.304347826087;5450.0;1750.9092555994653;23;Almacen Punto de Ventas 1
CERE-010;0.0;2607.0416666666665;9709.0;3436.9631499101906;24;Almacen Central
CER 004;-166.0;2212.112462006079;10473.0;1683.7755148145216;658;Almacen Punto de Ventas 1
CER 008;0.0;2154.2178447276942;7594.0;1414.5297452808984;863;Almacen Punto de Ventas 1
'73;0.0;2030.2;3817.0;1927.8035947678902;5;Almacen Central
CEO 009;-23.0;1838.6574344023325;6016.0;1318.8583143311553;686;Almacen Punto de Ventas 1
CP-00007;0.0;1801.5697674418604;9530.0;2296.1823280715435;344;Almacen Punto de Ventas 1
CEO 004;0.0;1759.728880157171;6431.0;1178.9498534958966;509;Almacen Punto de Ventas 1
TPC-00001;0.0;1733.2151898734178;8209.0;1387.3982841633056;553;Almacen Punto de Ventas 1
CEO 003;0.0;1569.2272727272727;4150.0;1590.224540354157;22;Almacen Central
TPG-00004;0.0;1473.5837988826815;6873.0;1913.6949704006613;358;Almacen Central
TPC-00006;0.0;1471.722814498934;5263.0;1114.2287834993256;469;Almacen Punto de Ventas 1
TPH-00001;0.0;1424.1195652173913;7038.0;1232.1911208508336;184;Almacen Punto de Ventas 1
CEO-014;0.0;1375.7735849056603;10000.0;1918.6814146249724;53;Almacen Central
TPH-00020;0.0;1371.5416666666667;1950.0;469.3230999018154;24;Almacen Punto de Ventas 1
TPH-00006;0.0;1340.4722222222222;6920.0;1449.4897869870088;144;Almacen Punto de Ventas 1
CP-00008;0.0;1200.0921409214093;8778.0;1306.8741963330838;1845;Almacen Punto de Ventas 1
CP-00002;0.0;1160.2998819362456;12078.0;2051.5172231928054;847;Almacen Punto de Ventas 1
CPE-01033;0.0;1150.1470588235295;2370.0;667.9907273480276;102;Almacen Punto de Ventas 1
CER 011;0.0;1116.148148148148;2027.0;644.0409509019953;27;Almacen Punto de Ventas 1
'46;0.0;1100.5;3988.0;1027.285361662335;78;Almacen Central
'36;0.0;1043.8666666666666;5126.0;1797.5501529528883;15;Almacen Central
CP-00001;0.0;868.2105263157895;4802.0;910.4106217602852;247;Almacen Punto de Ventas 1
CER 012;0.0;856.8235294117648;1805.0;790.2969564738083;17;Almacen Central
TPC-00059;0.0;842.8571428571429;1430.0;590.0766697561227;7;Almacen Punto de Ventas 1
CEO 008;0.0;787.0;1969.0;698.9234578979303;21;Almacen Central
CER 009;0.0;652.8720930232558;4280.0;797.532602813189;172;Almacen Central
CEO 010;0.0;646.9634146341464;2494.0;667.2576501318171;164;Almacen Central
CEO 005;0.0;625.031914893617;1995.0;533.4706097280388;94;Almacen Central
CERE 005;0.0;608.7973856209151;3589.0;582.6133768076608;153;Almacen Central
CEO-015;0.0;584.6379310344828;3962.0;828.7730457387067;58;Almacen Punto de Ventas 1
CEO-040;0.0;583.6666666666666;2219.0;589.8569035509094;33;Almacen Central
TPH-00004;0.0;531.53125;1263.0;512.906391784964;32;Almacen Punto de Ventas 1
TPC-00058;0.0;505.75;1145.0;594.0754020604904;4;Almacen Central
CERE-015;0.0;500.8888888888889;3200.0;837.462475990901;18;Almacen Central
TPH-00019;0.0;472.14285714285717;913.0;371.22608949777424;7;Almacen Punto de Ventas 1
TPC-00009;0.0;469.71014492753625;1491.0;465.2945651902319;69;Almacen Punto de Ventas 1
CER 006;0.0;468.4166666666667;1056.0;331.16814547856217;24;Almacen Central
ABZ-00020;-100.0;426.1578947368421;1450.0;408.4444800880127;38;Almacen Punto de Ventas 1
TPC-00004;0.0;421.7945205479452;1967.0;436.319230702326;73;Almacen Punto de Ventas 1
CP-00003;-50.0;416.8636363636364;1619.0;510.57950357127015;88;Almacen Central
CERE 001;0.0;414.2985074626866;3000.0;665.2372330303377;67;Almacen Central
TPG-00003;0.0;400.10526315789474;1472.0;496.91809774314083;57;Almacen Central
CP-00011;-2.0;394.8181818181818;2911.0;466.2837887143594;550;Almacen Punto de Ventas 1
CEO-035;0.0;388.90909090909093;1232.0;353.83112855212096;22;Almacen Central
CP-00005;0.0;371.3619791666667;2653.0;447.10314662318666;384;Almacen Central
CPE-01050;0.0;360.44827586206895;816.0;179.43852632326212;29;Almacen Punto de Ventas 1
CEO-023;0.0;353.02702702702703;1621.0;466.3788687850783;37;Almacen Central
CP-00010;0.0;326.77777777777777;645.0;271.3704989721953;18;Almacen Central
'2;0.0;318.46125265392783;4130.0;735.2429956988183;471;Almacen Central
CERE 006;0.0;315.2181818181818;1585.0;360.51867278666236;110;Almacen Central
CEO-016;0.0;313.64814814814815;1435.0;428.3834535768073;54;Almacen Central
TPH-00009;0.0;294.18918918918916;1229.0;319.0000729569612;37;Almacen Punto de Ventas 1
CP-00014;0.0;292.2267441860465;1000.0;228.83441703487148;344;Almacen Punto de Ventas 1
CPE-274;0.0;280.0;1000.0;438.1780460041329;5;Almacen Central
'91;0.0;259.68;739.0;237.33901912664928;25;Almacen Central
'86;0.0;257.63461538461536;1050.0;199.80117851289887;52;Almacen Punto de Ventas 1
CEO-026;0.0;254.04166666666666;1412.0;395.7414042755332;24;Almacen Central
'75;0.0;250.0;500.0;250.0;5;Almacen Central
CPE-01018;0.0;248.53846153846155;711.0;217.6379067661203;26;Almacen Punto de Ventas 1
TPC-00005;0.0;248.30769230769232;1075.0;259.58032029559985;52;Almacen Punto de Ventas 1
CER 002;0.0;243.05555555555554;2108.0;499.87909976221744;18;Almacen Central
'98;0.0;225.45454545454547;980.0;336.4331623476983;11;Sin asignar
TPC-00011;0.0;223.86746987951807;603.0;165.1738013747749;83;Almacen Punto de Ventas 1
CERE 004;0.0;221.23684210526315;4043.0;716.8719375329115;38;Almacen Central
TPC-00029;0.0;214.28571428571428;1500.0;566.9467095138408;7;Sin asignar
'5;0.0;211.8;318.0;132.60618386787246;10;Almacen Central
CPE-00040;0.0;211.7835294117647;469.0;132.13568716444294;425;Almacen Punto de Ventas 1
CEO 007;0.0;211.38709677419354;689.0;195.8769473282235;31;Almacen Central
SCHU-0026;0.0;204.54545454545453;800.0;282.3601826165877;11;Sin asignar
CEO-032;0.0;204.36;1505.0;359.9092339280372;25;Almacen Central
CP-00024;-34.0;188.97719298245613;1170.0;170.45802406311716;570;Almacen Punto de Ventas 1
TUCA-00001;0.0;185.23076923076923;1000.0;357.5411756814763;13;Almacen Punto de Ventas 1
'74;0.0;179.88235294117646;600.0;134.18714331747614;119;Almacen Punto de Ventas 1
CP-00012;0.0;178.896;1863.0;390.75367037000507;250;Almacen Central
CERE-012;0.0;178.36363636363637;869.0;246.99596014713342;22;Almacen Central
'61;0.0;177.0390625;370.0;85.41592563374863;128;Almacen Punto de Ventas 1
CPE-00872;0.0;169.5;339.0;239.7091988222396;2;Almacen Central
