Código;Salida_Total;Descripción;Stock_Promedio;Rotacion
'9;1658.0;PLANCHA GALVANIZADA F°G° 1.50 (1200x2400mm);18.08885542168675;91.6586462409458
CP-00008;98541.0;CAJA DE PASE 100X100X50MM  3/4 (F. G. 0.75).;1200.0921409214093;82.11119516568284
CP-00044;763.0;CAJA DE PASE 200X200X100MM CIEGA (F.G. 1.50).;10.369047619047619;73.58438576349025
CP-00012;12620.0;CAJA DE PASE 100X100X50MM  3/4 (F.G. 1.50).;178.896;70.54377962615152
CP-00033;1281.0;CAJA DE PASE 150X150X100MM CIEGA (F. G. 1.50).;19.395833333333332;66.04511278195488
CER 008;140659.0;CAJA RECT 100X55X40MM 3/4 (F. G. 1.20).;2154.2178447276942;65.29469632992485
CER 004;144104.0;CAJA RECT 100X55X40MM 1/2 (F. G. 1.20).;2212.112462006079;65.14316178541739
CP-00043;2259.0;CAJA DE PASE 200X200X100MM CIEGA (F. G. 1.20).;34.90822784810127;64.71253739461517
CP-00018;4116.0;CAJA DE PASE 100X100X50MM CIEGA (F. G. 1.50).;66.20779220779221;62.16790898391526
CP-00032;3066.0;CAJA DE PASE 150X150X100MM CIEGA (F. G. 1.20).;49.45619335347432;61.99425778863775
TBC-00005;401.0;"TUBERIA CONDUIT EMT 20MM/ 3/4"" X 3MTS-UL PESADO";6.690476190476191;59.93594306049822
COC-00001;2595.0;"CONECTOR EMT 20MM/ 3/4"" -UL";44.626168224299064;58.14973821989529
CERE 002;249967.0;CAJA RECT 100X60X50MM BR 1/2 (F.G. 1.20).;4448.451219512195;56.19191661663555
CP-00011;21399.0;CAJA DE PASE 100X100X50MM  3/4 (F. G. 1.20).;394.8181818181818;54.19963159106609
CER 005;537628.0;CAJA RECT 100X55X40MM 3/4 (F. G. 0.75).;10031.924644367551;53.59171037053718
'93;1880.0;PLANCHA GALVANIZADA F°G° 1.20 (1200x2400mm);35.32116788321168;53.22587311427981
CER 001;803789.0;CAJA RECT 100X55X40MM 1/2 (F. G. 0.75).;15234.58774662513;52.760797559360334
CEO 009;96553.0;CAJA OCTOG 100X40MM  3/4 (F. G. 1.20).;1838.6574344023325;52.512772740282195
CP-00006;2767.0;CAJA DE PASE 100X100X50MM  1/2 (F. G. 1.50).;52.803030303030305;52.402295552367285
CERE 001;20884.0;CAJA RECT 100X60X50MM BC 1/2 (F.G. 0.90);414.2985074626866;50.40809856617912
COC-00004;783.0;"CONECTOR EMT 50MM/ 2"" -UL";15.622222222222222;50.12091038406828
CP-00005;17461.0;CAJA DE PASE 100X100X50MM  1/2 (F. G. 1.20).;371.3619791666667;47.01881447094381
CEO 004;77795.0;CAJA OCTOG 100X40MM  1/2 (F. G. 1.20).;1759.728880157171;44.20851466224257
CP-00035;5556.0;CAJA DE PASE 200X200X100MM (F. G. 0.75).;126.51044776119403;43.91732144121186
CEO-014;58562.0;CAJA OCTOG 100X40MM HCO ESP 1/2 (F.G 0.75);1375.7735849056603;42.56659718031708
CEO 006;488681.0;CAJA OCTOG 100X40MM  3/4 (F. G. 0.75).;11738.731818181817;41.62979507233436
CER 009;26884.0;CAJA RECT 100X55X40MM 3/4 (F. G. 1.50).;652.8720930232558;41.17805047464691
CP-00002;47757.0;CAJA DE PASE 100X100X50MM  1/2 (F. G. 0.75).;1160.2998819362456;41.159187157983425
TBC-00008;107.0;"TUBERIA CONDUIT EMT 40MM/ 1 1/2"" X 3MTS-UL PESADO";2.6;41.15384615384615
CEO 001;555047.0;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;13631.781795511222;40.7171276892629
TPG-00001;119163.0;TAPA UN GANG (F.G. 0.75).;2939.493896713615;40.53861113072066
'2;12823.0;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);318.46125265392783;40.26549507401067
UNC-00004;448.0;"UNION EMT 50MM/ 2"" -UL";11.142857142857142;40.205128205128204
CP-00024;7422.0;CAJA DE PASE 150X150X100MM (F. G. 0.75).;188.97719298245613;39.27458061401636
UNC-00002;722.0;"UNION EMT 25MM/ 1"" -UL";18.69736842105263;38.615059817030264
TBC-00004;206.0;"TUBERIA CONDUIT EMT 15MM/ 1/2"" X 3MTS-UL PESADO";5.5675675675675675;37.0
COC-00007;529.0;"CONECTOR EMT 40MM/ 1 1/2"" -UL";14.781818181818181;35.787207872078724
CUC-00002;262.0;"CURVA EMT 25MM/ 1"" -UL";7.424242424242424;35.289795918367346
TBC-00001;304.0;"TUBERIA  CONDUIT EMT 15MM/ 1/2"" LIVIANO";8.685714285714285;35.0
CEO 002;122589.0;CAJA OCTOG 100X40MM  1/2 (F. G. 0.90).;3511.4700460829495;34.91101971288299
CP-00039;367.0;CAJA DE PASE 200X200X100MM (F. G. 1.50);10.552631578947368;34.77805486284289
CP-00041;2084.0;CAJA DE PASE 200X200X100MM CIEGA (F. G. 0.75).;61.106770833333336;34.10424035797997
CP-00027;1595.0;CAJA DE PASE 150X150X100MM (F. G. 1.20).;46.84567901234568;34.04796415865068
CP-00045;1860.0;CAJA DE PASE 300X300X100MM (F.G. 0.75).;55.47651006711409;33.527703847084446
CERE 006;10478.0;CAJA RECT 100X60X50MM BR 3/4 (F.G. 1.50).;315.2181818181818;33.24046836246179
TPC-00001;57039.0;TAPA CIEGA OCTOG. (F. G. 0.75).;1733.2151898734178;32.90935847623499
CP-00054;108.0;CAJA DE PASE 300X300X100MM CIEGA (F. G. 1.50).;3.289473684210526;32.832
CPE-00238;60.0;CAJA DE PASE 500X500X200MM CIEGA (F.G. 1.20);1.878787878787879;31.93548387096774
'6;997.0;PLANCHA GALVANIZADA  F°G° 0.90 (1200x2400mm);31.25390625;31.900012498437697
CERCD-00001;78.0;CAJA RECTANGULAR CONDUIT TIPO RAWELT 4X2´´ 3/4´´ 3 SALIDAS ALUMINIO;2.45;31.83673469387755
'25;1194.0;PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm);37.63551401869159;31.725353861435313
COC-00003;452.0;"CONECTOR EMT 35MM/ 1 1/4"" -UL";14.28125;31.64989059080963
CP-00017;3258.0;CAJA DE PASE 100X100X50MM CIEGA (F. G. 1.20).;103.35393258426966;31.52274827417514
CP-00062;95.0;CAJA DE PASE 350X350X100MM CIEGA (F. G. 1.20);3.064516129032258;31.0
CPE-00070;433.0;CAJA DE PASE 200X200X150MM CIEGA (F.G. 1.20).;14.152777777777779;30.594700686947988
TBC-00006;142.0;"TUBERIA CONDUIT EMT 25MM/ 1"" X 3MTS-UL PESADO";4.666666666666667;30.428571428571427
CPE-00101;154.0;CAJA DE PASE 300X300X150MM CIEGA (F.G. 1.50);5.064516129032258;30.40764331210191
CP-00014;8864.0;CAJA DE PASE 100X100X50MM CIEGA (F. G. 0.75).;292.2267441860465;30.33261046893341
'81;42.0;CAJA DE PASE 300X300X200 CIEGA (F.G.1.20);1.393939393939394;30.130434782608695
CP-00028;200.0;CAJA DE PASE 150X150X100MM (F. G. 1.50);6.7272727272727275;29.72972972972973
CPE-00100;221.0;CAJA DE PASE 300X300X150MM CIEGA (F.G. 1.20).;7.473118279569892;29.572661870503598
TBC-00014;255.0;TUBERIA CONDUIT FLEXIBLE LIVIANO 15MM 1/2”;8.793103448275861;29.000000000000004
'8;3744.0;PLANCHA GALVANIZADA F°G° 1.20 (1200x2400mm);131.0444839857651;28.570450934864965
TBC-00015;1043.0;TUBERIA CONDUIT FLEXIBLE LIVIANO 20MM 3/4”;37.1;28.11320754716981
CUC-00012;99.0;"CURVA EMT 50MM/  2"" -UL";3.5483870967741935;27.9
CEO 005;17406.0;CAJA OCTOG 100X40MM  1/2 (F. G. 1.50).;625.031914893617;27.848177965380494
CERE 005;16734.0;CAJA RECT 100X60X50MM BR 3/4 (F.G. 1.20).;608.7973856209151;27.486977433276788
CEO-016;8616.0;CAJA OCTOG 100X55MM BR 1/2 (F.G 1.20).;313.64814814814815;27.470272185156755
COC-00002;616.0;"CONECTOR EMT 25MM/ 1"" -UL";22.525;27.347391786903444
CP-00053;422.0;CAJA DE PASE 300X300X100MM CIEGA (F. G. 1.20).;15.450381679389313;27.313241106719367
'92;744.0;PLANCHA GALVANIZADA F°G° 0.80 (1200x2400mm);27.296296296296298;27.256445047489823
CPE-00056;64.0;CAJA DE PASE 150X150X150MM CIEGA (F. G. 1.20).;2.3703703703703702;27.0
CP-00071;63.0;CAJA DE PASE 400X400X100MM CIEGA (F.G. 1.20);2.3333333333333335;27.0
CP-00049;117.0;CAJA DE PASE 300X300X100MM (F.G. 1.50);4.35;26.896551724137932
UNC-00003;277.0;"UNION EMT 35MM/ 1 1/4"" -UL";10.310344827586206;26.866220735785955
CEO 010;17345.0;CAJA OCTOG 100X40MM  3/4 (F. G. 1.50).;646.9634146341464;26.809862208063937
TBC-00003;204.0;"TUBERIA CONDUIT EMT 25MM/ 1"" LIVIANO	";7.62962962962963;26.7378640776699
CPE-00040;5607.0;CAJA DE PASE 150X150X75MM (F. G. 0.75).;211.7835294117647;26.475146653630787
CP-00022;641.0;"CAJA DE PASE 100X100X50MM   1"" (F.G. 1.50).";24.607142857142858;26.04934687953556
ARAN-00001;3788.0;ARANDELA PLANA 3/8”;146.07692307692307;25.93154291732491
CPE-00008;1119.0;CAJA DE PASE 100X100X55MM  3/4 (F. G. 1.50).;43.766666666666666;25.56740289413557
GA-00019;378.0;GABINETE ADOSABLE 650X350X150MM CIEGA (F. G. 1.20);14.96774193548387;25.254310344827587
CPE-00079;58.0;CAJA DE PASE 250X250X100MM CIEGA (F. G. 1.50);2.32;25.0
TPC-00006;36045.0;TAPA CIEGA RECT. (F. G. 0.75).;1471.722814498934;24.491704310687037
CPE-00416;796.0;CAJA DE PASE 100X100X40MM 3/4 (F. G. 1.50).;32.53846153846154;24.46335697399527
CPE-00112;43.0;CAJA DE PASE 400X400X150MM CIEGA (F.G. 1.20);1.7741935483870968;24.236363636363638
CERE 004;5352.0;CAJA RECT 100X60X50MM BC 3/4 (F.G. 0.90).;221.23684210526315;24.19126918044487
TBC-00002;308.0;"TUBERIA CONDUIT EMT 20MM/ 3/4"" LIVIANO";12.767441860465116;24.123861566484518
CPE-00189;12.0;CAJA DE PASE 100X100X150MM CIEGA (F.G. 1.20);0.5;24.0
CP-00009;2338.0;CAJA DE PASE 100X100X50MM  3/4 (F. G. 0.90);97.86666666666666;23.88964577656676
CPE-00146;53.0;CAJA DE PASE 400X300X150MM CIEGA (F.G. 1.20).;2.2222222222222223;23.849999999999998
CERCD-00002;74.0;CAJA RECTANGULAR CONDUIT 1/2 (ALUMINIO);3.12;23.717948717948715
CPE-00045;215.0;CAJA DE PASE 150X150X75MM CIEGA (F. G. 1.50).;9.333333333333334;23.035714285714285
CPE-00599;181.0;CAJA DE PASE 100X100X75MM CIEGA (F. G. 0.75);7.958333333333333;22.7434554973822
CUC-00007;99.0;"CURVA EMT 40MM/ 1 1/2"" -UL";4.384615384615385;22.57894736842105
