Año;Mes;Num_Transacciones;Salida_Total;Año_Mes
2021;1;105;76145.8;2021-01
2021;2;185;64082.0;2021-02
2021;3;122;81024.6;2021-03
2021;4;87;65292.0;2021-04
2021;5;106;63854.0;2021-05
2021;6;88;55436.0;2021-06
2021;7;107;82429.0;2021-07
2021;8;116;67051.0;2021-08
2021;9;160;120116.0;2021-09
2021;10;643;582162.0;2021-10
2021;11;724;118878.0;2021-11
2021;12;599;124210.0;2021-12
2022;1;561;135307.0;2022-01
2022;2;523;100188.0;2022-02
2022;3;551;84843.0;2022-03
2022;4;444;62093.6;2022-04
2022;5;436;62670.0;2022-05
2022;6;597;71422.0;2022-06
2022;7;523;41080.0;2022-07
2022;8;522;51665.0;2022-08
2022;9;513;41145.4;2022-09
2022;10;605;54803.0;2022-10
2022;11;652;58937.4;2022-11
2022;12;492;53769.0;2022-12
2023;1;494;55253.0;2023-01
2023;2;462;59674.0;2023-02
2023;3;465;51162.0;2023-03
2023;4;442;80731.5;2023-04
2023;5;585;63968.5;2023-05
2023;6;536;54217.4;2023-06
2023;7;585;51022.0;2023-07
2023;8;688;58935.4;2023-08
2023;9;750;60308.8;2023-09
2023;10;840;66010.0;2023-10
2023;11;780;65329.0;2023-11
2023;12;467;53931.0;2023-12
2024;1;664;94167.0;2024-01
2024;2;616;70775.0;2024-02
2024;3;610;99692.0;2024-03
2024;4;802;140310.4;2024-04
2024;5;725;66518.5;2024-05
2024;6;737;72427.5;2024-06
2024;7;746;68166.5;2024-07
2024;8;782;70996.5;2024-08
2024;9;794;73050.5;2024-09
2024;10;848;59121.5;2024-10
2024;11;798;59675.5;2024-11
2024;12;651;58994.0;2024-12
2025;1;994;78461.0;2025-01
2025;2;848;64448.0;2025-02
2025;3;769;90844.0;2025-03
2025;4;650;64558.0;2025-04
2025;5;750;97752.0;2025-05
