Semana_Inicio;Ventas_Semanales;Produccion_Semanal;Stock_Cierre_Semanal
2020-12-28;20650.0;561682.4;541032.4
2021-01-04;5001.0;5715.0;410533.0
2021-01-11;16566.8;14013.0;233119.0
2021-01-18;24848.0;18415.0;429917.0
2021-01-25;9080.0;4858.0;276879.0
2021-02-01;18724.0;4038.0;395530.0
2021-02-08;19007.0;351.0;358283.0
2021-02-15;16932.0;1130.0;389679.0
2021-02-22;9419.0;50.0;325454.0
2021-03-01;17868.6;2678.6;348408.6
2021-03-08;33123.0;28086.2;325655.8
2021-03-15;5700.0;3746.0;213725.0
2021-03-22;18140.0;13354.0;300269.0
2021-03-29;6193.0;4372.0;231522.0
2021-04-05;17347.0;12538.0;267248.0
2021-04-12;9368.0;5783.6;193178.8
2021-04-19;24838.0;18688.0;337814.0
2021-04-26;13739.0;11451.0;315994.0
2021-05-03;6307.0;4977.0;181462.0
2021-05-10;19190.0;16241.0;319540.0
2021-05-17;12504.0;11620.0;336046.0
2021-05-24;22873.0;16050.0;363125.0
2021-05-31;9171.0;62636.0;430831.0
2021-06-07;5238.0;3808.0;195747.0
2021-06-14;26098.0;24520.0;364427.0
2021-06-21;17436.0;14947.0;366986.0
2021-06-28;9773.0;4010.0;275218.0
2021-07-05;17885.0;14345.0;374423.0
2021-07-12;13477.0;12364.0;324960.0
2021-07-19;34750.0;32327.0;395435.0
2021-07-26;7017.0;7046.0;92152.0
2021-08-02;16608.0;14459.0;288949.0
2021-08-09;21532.0;19041.0;338537.0
2021-08-16;14327.0;28222.0;379532.0
2021-08-23;14584.0;26078.0;400630.0
2021-08-30;17896.0;14546.0;265286.0
2021-09-06;23334.0;30285.0;393293.0
2021-09-13;17606.0;43459.0;303664.0
2021-09-20;31022.0;45012.0;454998.0
2021-09-27;34967.0;69622.0;522613.0
2021-10-04;9566.0;17384.0;209696.0
2021-10-11;506310.0;20592.0;61638.0
2021-10-18;26946.0;27245.0;56380.0
2021-10-25;34631.0;34979.0;54041.0
2021-11-01;34084.0;36868.0;57154.0
2021-11-08;29970.0;25320.0;54138.0
2021-11-15;26175.0;20976.0;48604.0
2021-11-22;19889.0;26291.0;54297.0
2021-11-29;23180.0;28996.0;63909.0
2021-12-06;44922.0;33340.0;50802.0
2021-12-13;32208.0;34356.0;48749.0
2021-12-20;19947.0;22666.0;56359.0
2021-12-27;12713.0;13038.0;55486.0
2022-01-03;29639.0;23686.0;50061.0
2022-01-10;47752.0;27953.0;30037.0
2022-01-17;30290.0;31595.0;33681.0
2022-01-24;22135.0;24872.0;34153.0
2022-01-31;31874.0;38565.0;40428.0
2022-02-07;33899.0;34789.0;42416.0
2022-02-14;23007.0;30890.0;45723.0
2022-02-21;15095.0;10498.0;44302.0
2022-02-28;12971.0;22298.2;55260.2
2022-03-07;13345.0;13956.4;56147.4
2022-03-14;23435.0;19793.4;50826.6
2022-03-21;17550.0;12031.0;43667.0
2022-03-28;19934.0;13753.0;37980.0
2022-04-04;12975.6;14536.0;41064.0
2022-04-11;12880.0;9421.0;40334.0
2022-04-18;15502.0;16663.0;40644.0
2022-04-25;20148.0;29796.0;48543.0
2022-05-02;27449.0;16624.0;38269.0
2022-05-09;7077.0;17621.0;48186.0
2022-05-16;12732.0;15704.0;50712.0
2022-05-23;11395.0;21091.0;58130.0
2022-05-30;29324.0;12490.0;50355.0
2022-06-06;19281.0;20412.0;50095.0
2022-06-13;5413.0;2433.0;46720.0
2022-06-20;14399.0;12375.0;39377.0
2022-06-27;9414.0;11512.0;44774.0
2022-07-04;7888.0;8333.0;48287.0
2022-07-11;10974.0;11770.0;45302.0
2022-07-18;12116.0;3598.0;34422.0
2022-07-25;7710.0;3946.0;33677.0
2022-08-01;13853.0;8733.0;32443.0
2022-08-08;15236.0;11660.0;26017.0
2022-08-15;7376.0;18866.0;33204.0
2022-08-22;11808.0;15372.0;42487.0
2022-08-29;6698.0;6372.0;39551.0
2022-09-05;9896.0;16506.0;49259.0
2022-09-12;8374.0;8669.0;47504.0
2022-09-19;8597.4;3726.4;43346.0
2022-09-26;11748.0;13973.0;46067.0
2022-10-03;10284.5;9520.0;42518.5
2022-10-10;15872.5;8886.0;39923.0
2022-10-17;11980.0;9581.0;38662.0
2022-10-24;14844.0;11121.0;33977.0
2022-10-31;12444.4;12524.0;34365.0
2022-11-07;10685.0;16925.4;39349.4
2022-11-14;16805.0;9137.0;33175.0
2022-11-21;12559.0;26566.0;47178.0
2022-11-28;14810.0;6758.0;38222.0
2022-12-05;11308.0;369.0;22694.0
2022-12-12;14662.0;12984.0;26020.0
2022-12-19;12515.0;3992.0;15391.0
2022-12-26;7964.0;13042.0;22878.0
2023-01-02;7673.0;8247.0;21818.0
2023-01-09;12860.0;15102.0;24986.0
2023-01-16;21935.0;13161.0;16528.0
2023-01-23;11799.0;19935.0;24622.0
2023-01-30;11177.0;12360.0;25657.0
2023-02-06;7584.0;11380.0;29054.0
2023-02-13;19768.0;15004.0;22354.0
2023-02-20;19489.0;18346.0;22714.0
2023-02-27;15022.0;7743.0;13228.0
2023-03-06;9460.0;12792.0;18551.0
2023-03-13;14824.0;14579.0;19259.0
2023-03-20;6075.0;19125.0;31847.0
2023-03-27;11422.0;28559.0;52441.0
2023-04-03;9148.0;15023.0;53401.0
2023-04-10;24970.0;37611.0;64724.0
2023-04-17;22358.0;25177.0;70778.0
2023-04-24;21256.5;16670.0;59691.5
2023-05-01;7700.0;14281.0;69567.5
2023-05-08;11857.4;19702.4;70966.5
2023-05-15;13146.0;24227.0;80736.5
2023-05-22;24650.5;22758.0;88769.0
2023-05-29;17124.6;23614.6;89240.0
2023-06-05;14427.0;14941.0;81961.0
2023-06-12;7982.4;23047.4;98298.4
2023-06-19;11380.0;13632.0;101837.0
2023-06-26;13134.0;15207.0;108076.0
2023-07-03;12879.0;1471.0;99271.0
2023-07-10;14020.0;3712.0;90262.0
2023-07-17;10090.0;4132.0;82150.0
2023-07-24;7519.0;9646.0;81669.0
2023-07-31;12572.0;3998.0;71979.0
2023-08-07;12255.0;8147.0;69869.0
2023-08-14;16567.0;9440.0;61267.0
2023-08-21;18273.4;4175.4;50275.0
2023-08-28;3473.0;5462.0;38515.0
2023-09-04;13323.0;17337.0;55949.0
2023-09-11;17284.8;19190.8;57702.0
2023-09-18;15851.0;8877.0;52231.0
2023-09-25;12943.0;13264.0;47486.0
2023-10-02;18459.0;8853.0;44193.0
2023-10-09;14475.0;13147.0;41547.0
2023-10-16;16072.0;18404.0;44241.0
2023-10-23;12812.0;19328.0;49893.0
2023-10-30;7787.0;7484.0;50708.0
2023-11-06;11757.0;16692.0;53378.0
2023-11-13;15518.0;6808.0;42776.0
2023-11-20;26156.0;17955.0;35774.0
2023-11-27;11884.0;12063.0;37722.0
2023-12-04;13379.0;10672.0;38167.0
