Semana_Inicio;Ventas_Semanales;Produccion_Semanal;Stock_Cierre_Semanal
2020-12-28;1000.0;82302.0;51152.0
2021-01-04;1450.0;1450.0;81302.0
2021-01-18;5785.0;5785.0;78517.0
2021-02-01;820.0;300.0;80782.0
2021-02-08;3300.0;0.0;77482.0
2021-02-15;1674.0;0.0;75808.0
2021-02-22;3863.0;0.0;71945.0
2021-03-01;1334.0;0.0;70611.0
2021-03-08;1500.0;1500.0;70611.0
2021-03-15;3500.0;3500.0;70611.0
2021-03-22;4000.0;4000.0;70611.0
2021-03-29;347.0;347.0;70611.0
2021-04-12;2000.0;2000.0;70611.0
2021-04-19;3800.0;3500.0;70311.0
2021-04-26;4279.0;3779.0;68032.0
2021-05-10;5000.0;5000.0;69811.0
2021-05-17;3500.0;3500.0;69811.0
2021-05-24;5000.0;5000.0;69811.0
2021-05-31;0.0;5129.0;74940.0
2021-06-07;2000.0;2000.0;74940.0
2021-06-14;5500.0;5500.0;74940.0
2021-06-21;4000.0;4000.0;74940.0
2021-07-05;1050.0;1000.0;74890.0
2021-07-12;1000.0;1000.0;73890.0
2021-07-19;4500.0;4500.0;74890.0
2021-08-02;2846.0;2546.0;74590.0
2021-08-09;2000.0;2000.0;74590.0
2021-08-16;2000.0;2000.0;74590.0
2021-08-23;500.0;500.0;74590.0
2021-09-06;3383.0;3383.0;74590.0
2021-09-13;7000.0;18756.0;86346.0
2021-09-20;3500.0;3500.0;86346.0
2021-09-27;1251.0;3576.0;88671.0
2021-10-11;87181.0;5700.0;7690.0
2021-10-18;2150.0;7765.0;13305.0
2021-10-25;3208.0;1000.0;10705.0
2021-11-01;2642.0;500.0;8655.0
2021-11-08;3339.0;6650.0;11866.0
2021-11-15;4130.0;2000.0;9636.0
2021-11-22;561.0;0.0;9075.0
2021-11-29;4435.0;2000.0;6640.0
2021-12-06;8382.0;7464.0;9072.0
2021-12-13;6822.0;3250.0;2150.0
2021-12-20;3470.0;9316.0;7996.0
2021-12-27;881.0;0.0;7715.0
2022-01-03;5540.0;3500.0;5075.0
2022-01-10;3403.0;1900.0;3572.0
2022-01-17;361.0;0.0;3211.0
2022-01-24;7203.0;11336.0;7344.0
2022-01-31;2969.0;0.0;4375.0
2022-02-07;1125.0;0.0;3525.0
2022-02-14;4914.0;9000.0;7336.0
2022-02-21;1708.0;3800.0;9468.0
2022-02-28;1665.0;2550.0;10423.0
2022-03-07;1780.0;0.0;8533.0
2022-03-14;1663.0;0.0;6870.0
2022-03-21;1841.0;4735.0;10344.0
2022-03-28;2399.0;0.0;7365.0
2022-04-04;1228.0;5645.0;11782.0
2022-04-11;1420.0;0.0;10362.0
2022-04-18;1835.0;0.0;8527.0
2022-04-25;2017.0;0.0;6510.0
2022-05-02;4770.0;4933.0;6728.0
2022-05-09;1341.0;5667.0;10999.0
2022-05-16;550.0;0.0;10699.0
2022-05-23;605.0;5641.0;15485.0
2022-05-30;6340.0;0.0;9145.0
2022-06-06;2205.0;0.0;6940.0
2022-06-13;202.0;0.0;6788.0
2022-06-20;1230.0;3406.0;8914.0
2022-06-27;603.0;0.0;8311.0
2022-07-04;557.0;0.0;7754.0
2022-07-11;2254.0;0.0;5500.0
2022-07-18;2118.0;0.0;3382.0
2022-07-25;1200.0;0.0;2182.0
2022-08-01;1167.0;0.0;1015.0
2022-08-08;454.0;0.0;561.0
2022-08-15;1526.0;5651.0;4686.0
2022-08-22;1774.0;1580.0;4492.0
2022-08-29;1010.0;0.0;3482.0
2022-09-05;1100.0;0.0;2382.0
2022-09-12;611.0;5656.0;7677.0
2022-09-19;541.0;0.0;6886.0
2022-09-26;593.0;0.0;6293.0
2022-10-03;521.0;0.0;5822.0
2022-10-10;1504.0;0.0;4268.0
2022-10-17;1540.0;0.0;2728.0
2022-10-24;969.0;0.0;1759.0
