Semana_Inicio;Ventas_Semanales;Produccion_Semanal;Stock_Cierre_Semanal
2020-12-28;0.0;4087.0;4087.0
2021-05-17;1050.0;1000.0;4037.0
2021-05-24;100.0;0.0;3937.0
2021-05-31;0.0;1484.0;5421.0
2021-06-07;100.0;0.0;5321.0
2021-06-14;200.0;0.0;5221.0
2021-06-21;50.0;0.0;5071.0
2021-07-19;565.0;500.0;5006.0
2021-08-02;500.0;500.0;5006.0
2021-08-09;1650.0;1600.0;4956.0
2021-08-23;60.0;0.0;4896.0
2021-08-30;1.0;1033.0;5928.0
2021-09-20;1000.0;2666.0;7594.0
2021-09-27;1581.0;1318.0;6513.0
2021-10-11;6630.0;0.0;701.0
2021-10-18;400.0;100.0;401.0
2021-10-25;3450.0;5187.0;2138.0
2021-11-01;600.0;0.0;1538.0
2021-11-08;375.0;0.0;1488.0
2021-11-15;1030.0;3093.0;3226.0
2021-11-22;800.0;500.0;2926.0
2021-11-29;402.0;0.0;2526.0
2021-12-06;1751.0;1593.0;2366.0
2021-12-20;2762.0;1600.0;1204.0
2021-12-27;1781.0;2278.0;1701.0
2022-01-03;1300.0;1000.0;1401.0
2022-01-10;528.0;278.0;873.0
2022-01-17;964.0;0.0;187.0
2022-01-24;107.0;0.0;80.0
2022-01-31;80.0;0.0;0.0
2022-02-07;10522.0;11678.0;1156.0
2022-02-14;352.0;362.0;1166.0
2022-02-21;460.0;0.0;706.0
2022-02-28;100.0;0.0;606.0
2022-03-07;90.0;0.0;516.0
2022-03-14;50.0;0.0;466.0
2022-03-21;16.0;0.0;450.0
2022-03-28;80.0;80.0;530.0
2022-04-04;1000.0;2850.0;2300.0
2022-04-11;500.0;0.0;1800.0
2022-04-18;240.0;0.0;1560.0
2022-04-25;436.0;0.0;1124.0
2022-05-02;72.0;0.0;1052.0
2022-05-09;30.0;0.0;1022.0
2022-05-23;1710.0;2463.0;1775.0
2022-05-30;457.0;0.0;1318.0
2022-06-06;293.0;3250.0;4275.0
2022-06-13;600.0;0.0;3675.0
2022-06-27;420.0;0.0;3255.0
2022-07-04;215.0;0.0;3040.0
2022-07-11;50.0;0.0;2990.0
2022-07-18;197.0;0.0;2793.0
2022-08-01;265.0;0.0;2528.0
2022-08-08;186.0;0.0;2342.0
2022-08-15;459.0;0.0;1883.0
2022-08-22;2200.0;2579.0;2262.0
2022-08-29;65.0;0.0;2197.0
2022-09-05;569.0;0.0;1628.0
2022-09-12;150.0;0.0;1478.0
2022-09-19;270.0;0.0;1208.0
2022-09-26;782.0;0.0;426.0
2022-10-03;300.0;0.0;126.0
2022-10-10;126.0;0.0;0.0
2023-01-09;322.0;1945.0;1623.0
2023-01-16;330.0;0.0;1293.0
2023-01-23;300.0;0.0;993.0
2023-01-30;993.0;0.0;0.0
2023-02-06;200.0;3864.0;3664.0
2023-02-13;1070.0;0.0;2594.0
2023-02-20;624.0;0.0;1970.0
2023-02-27;520.0;0.0;1450.0
2023-03-06;200.0;0.0;1250.0
2023-03-13;548.0;0.0;702.0
2023-03-20;100.0;0.0;602.0
2023-03-27;150.0;0.0;452.0
2023-04-03;275.0;0.0;177.0
2023-04-10;920.0;743.0;0.0
2023-04-17;212.0;212.0;0.0
2023-04-24;2600.0;3172.0;572.0
2023-05-01;60.0;0.0;512.0
2023-05-08;400.0;3847.0;3959.0
2023-05-15;234.0;0.0;3765.0
2023-05-22;365.0;0.0;3360.0
2023-05-29;75.0;0.0;3285.0
2023-06-05;106.0;0.0;3179.0
2023-06-12;150.0;0.0;3029.0
2023-06-19;600.0;0.0;2429.0
2023-06-26;500.0;0.0;1929.0
2023-07-03;350.0;0.0;1579.0
2023-07-10;151.0;0.0;1428.0
2023-07-17;104.0;0.0;1324.0
2023-07-24;10.0;0.0;1314.0
2023-07-31;306.0;0.0;1008.0
2023-08-07;550.0;0.0;458.0
2023-08-14;805.0;1510.0;1163.0
2023-08-21;322.0;0.0;841.0
2023-08-28;101.0;0.0;740.0
2023-09-04;70.0;0.0;670.0
2023-09-11;242.0;0.0;428.0
2023-09-18;482.0;1943.0;1889.0
2023-09-25;680.0;0.0;1209.0
2023-10-02;176.0;0.0;1033.0
2023-10-09;150.0;0.0;883.0
2023-10-16;160.0;0.0;723.0
2023-10-30;706.0;0.0;17.0
2023-11-06;230.0;3795.0;3582.0
2023-11-13;515.0;0.0;3067.0
2023-11-20;495.0;0.0;2572.0
2023-11-27;855.0;0.0;1717.0
2023-12-04;1504.0;1116.0;1329.0
2023-12-11;400.0;0.0;929.0
2023-12-18;150.0;0.0;779.0
2023-12-25;400.0;0.0;379.0
2024-01-01;169.0;396.0;610.0
2024-01-08;150.0;0.0;456.0
2024-01-15;75.0;2139.0;2520.0
2024-01-22;1101.0;0.0;1419.0
2024-01-29;680.0;0.0;889.0
2024-02-05;425.0;549.0;863.0
2024-02-12;1542.0;2236.0;1557.0
2024-02-19;763.0;400.0;1194.0
2024-02-26;355.0;0.0;839.0
2024-03-11;500.0;276.0;615.0
2024-03-18;2075.0;1976.0;566.0
2024-03-25;550.0;2069.0;2035.0
2024-04-01;1100.0;1700.0;2635.0
2024-04-08;905.0;270.0;2000.0
2024-04-15;500.0;230.0;1730.0
2024-04-22;1600.0;2242.0;2372.0
2024-04-29;858.0;0.0;1514.0
2024-05-06;154.0;1938.0;3298.0
2024-05-27;2151.0;62.0;1209.0
2024-06-03;114.0;0.0;1095.0
2024-06-10;217.0;147.0;1025.0
2024-06-17;882.0;1943.0;2086.0
2024-06-24;1744.0;2709.0;3051.0
2024-07-01;366.0;0.0;2685.0
2024-07-08;791.0;0.0;1894.0
2024-07-15;550.0;2579.0;3923.0
2024-07-22;2330.0;0.0;2593.0
2024-07-29;226.0;1.0;1368.0
2024-08-05;1288.0;0.0;180.0
2024-08-12;1003.0;2642.0;1719.0
2024-08-19;1923.0;1939.0;2007.0
2024-08-26;304.0;0.0;1431.0
2024-09-02;826.0;0.0;605.0
2024-09-09;676.0;1911.0;1840.0
2024-09-16;1557.0;1000.0;1283.0
2024-09-23;900.0;2115.0;2498.0
2024-09-30;1405.0;2568.0;3661.0
2024-10-07;70.0;0.0;3591.0
2024-10-14;805.0;0.0;2786.0
2024-10-21;603.0;1394.0;3577.0
2024-10-28;50.0;0.0;3527.0
2024-11-04;2156.0;1929.0;3300.0
2024-11-11;1115.0;0.0;2185.0
2024-11-18;800.0;1934.0;3319.0
2024-11-25;2126.0;1269.0;2462.0
2024-12-02;205.0;0.0;2257.0
2024-12-09;400.0;1921.0;3778.0
2024-12-16;110.0;0.0;3668.0
2024-12-23;371.0;0.0;3297.0
2024-12-30;65.0;0.0;3232.0
2025-01-06;432.0;0.0;2800.0
2025-01-13;824.0;0.0;2157.0
2025-01-20;393.0;0.0;1583.0
2025-01-27;1299.0;3082.0;3366.0
2025-02-03;1121.0;26.0;2271.0
2025-02-10;1471.0;2722.0;3522.0
2025-02-17;2365.0;7.0;1164.0
2025-02-24;743.0;1291.0;1712.0
2025-03-03;869.0;142.0;985.0
2025-03-10;525.0;0.0;460.0
2025-03-17;628.0;2765.0;2597.0
2025-03-24;135.0;0.0;2462.0
2025-03-31;700.0;0.0;1762.0
2025-04-07;30.0;3648.0;5410.0
2025-04-14;1840.0;2000.0;5540.0
2025-04-21;2400.0;1242.0;5345.0
2025-04-28;2014.0;0.0;2368.0
2025-05-05;2438.0;3184.0;3114.0
2025-05-12;365.0;62.0;2811.0
2025-05-19;387.0;0.0;2424.0
2025-05-26;3202.0;2623.0;1845.0
