Semana_Inicio;Ventas_Semanales;Produccion_Semanal;Stock_Cierre_Semanal
2020-12-28;631.0;38602.0;37971.0
2021-01-04;0.0;610.0;38581.0
2021-01-11;1000.0;0.0;37581.0
2021-01-18;4660.0;0.0;34934.0
2021-02-01;2000.0;0.0;30921.0
2021-02-15;684.0;0.0;30237.0
2021-03-01;4681.0;700.0;26256.0
2021-03-15;700.0;0.0;25556.0
2021-03-29;1796.0;0.0;23760.0
2021-04-05;2700.0;0.0;21060.0
2021-04-12;260.0;0.0;20800.0
2021-04-19;5805.0;0.0;14995.0
2021-05-10;1855.0;0.0;14440.0
2021-05-24;4000.0;0.0;9140.0
2021-05-31;3250.0;5377.0;11267.0
2021-06-28;217.0;0.0;11050.0
2021-07-19;3050.0;3050.0;11050.0
2021-08-02;21.0;0.0;11029.0
2021-08-16;150.0;0.0;10879.0
2021-08-23;4300.0;2736.0;9315.0
2021-09-06;2700.0;3400.0;10015.0
2021-09-20;1500.0;0.0;8515.0
2021-10-04;0.0;2049.0;10564.0
2021-10-11;10500.0;1.0;65.0
2021-10-18;1000.0;3091.0;2156.0
2021-11-01;50.0;0.0;2106.0
2021-11-15;3293.0;3363.0;2176.0
2021-11-29;2176.0;0.0;0.0
2021-12-20;324.0;1788.0;1464.0
2021-12-27;1000.0;0.0;464.0
2022-01-03;1045.0;581.0;0.0
2022-01-10;2455.0;2455.0;2455.0
2022-01-17;4950.0;5032.0;82.0
2022-01-24;1600.0;1795.0;277.0
2022-01-31;200.0;0.0;77.0
2022-02-07;1065.0;1065.0;77.0
2022-02-14;1000.0;934.0;11.0
2022-02-28;2000.0;2152.0;1963.0
2022-03-07;4000.0;6500.0;2663.0
2022-03-14;9047.0;6384.0;2870.0
2022-03-21;3923.0;3923.0;0.0
2022-04-25;6000.0;10295.0;4295.0
2022-05-02;4000.0;0.0;295.0
2022-05-09;0.0;95.0;390.0
2022-05-16;2200.0;2250.0;440.0
2022-05-23;1108.0;1924.0;2144.0
2022-06-06;6000.0;5536.0;792.0
2022-08-01;5.0;0.0;787.0
2022-08-08;4003.0;4000.0;784.0
2022-08-22;2000.0;2133.0;2784.0
2022-09-05;2700.0;2517.0;734.0
2022-09-19;2025.0;1324.0;33.0
2022-10-03;1950.0;1950.0;1033.0
2022-10-10;880.0;875.0;28.0
2022-10-17;200.0;200.0;28.0
2022-10-24;3600.0;3600.0;28.0
2022-10-31;500.0;500.0;528.0
2022-11-07;154.0;268.0;142.0
2022-11-14;2450.0;2858.0;550.0
2022-11-21;1000.0;450.0;0.0
2023-01-02;0.0;1.0;1.0
2023-01-09;275.0;275.0;1.0
2023-01-16;7323.0;7323.0;1.0
2023-01-23;2750.0;3327.0;578.0
2023-02-13;200.0;0.0;378.0
2023-02-20;2500.0;2561.0;2939.0
2023-02-27;650.0;2650.0;2439.0
2023-03-06;2350.0;1000.0;1089.0
2023-03-13;4035.0;3435.0;489.0
2023-03-20;900.0;600.0;189.0
2023-03-27;3691.0;5400.0;1898.0
2023-04-10;5688.0;10000.0;6210.0
2023-04-17;5500.0;0.0;710.0
2023-04-24;0.0;50.0;760.0
2023-05-01;1000.0;400.0;160.0
2023-05-08;0.0;3923.0;4083.0
2023-05-22;6700.0;2775.0;158.0
2023-05-29;1250.0;1253.0;161.0
2023-06-05;5450.0;5450.0;161.0
2023-06-26;0.0;966.0;1127.0
2023-07-10;1.0;0.0;1126.0
2023-07-31;0.0;3506.0;4632.0
2023-08-07;0.0;3247.0;7879.0
2023-08-14;0.0;2000.0;9879.0
2023-08-21;4000.0;0.0;5879.0
2023-09-04;73.0;0.0;5806.0
2023-09-18;1248.0;0.0;4558.0
2023-10-02;2345.0;0.0;2213.0
2023-10-30;832.0;0.0;1381.0
2023-11-20;835.0;0.0;546.0
2023-12-04;1200.0;677.0;23.0
2023-12-18;2100.0;2077.0;0.0
2023-12-25;0.0;1969.0;1969.0
2024-01-01;1000.0;0.0;969.0
2024-01-08;11000.0;10031.0;0.0
2024-01-15;0.0;700.0;700.0
2024-01-22;700.0;0.0;0.0
2024-01-29;2657.0;2657.0;2270.0
2024-02-19;500.0;500.0;0.0
2024-03-11;7620.0;7620.0;0.0
2024-04-01;3000.0;3000.0;0.0
2024-04-08;2460.0;2969.0;509.0
