Semana_Inicio;Produccion_Semanal;Planchas_Consumidas;Costo_Planchas
2020-12-28;60238.0;421.666;54795.496699999996
2021-01-04;1000.0;7.0;909.6499999999999
2021-01-11;1000.0;7.0;909.6499999999999
2021-01-18;0.0;0.0;0.0
2021-01-25;2.0;0.014;1.8193
2021-02-08;0.0;0.0;0.0
2021-02-15;0.0;0.0;0.0
2021-02-22;0.0;0.0;0.0
2021-03-01;0.0;0.0;0.0
2021-03-08;4500.0;31.5;4093.4249999999997
2021-03-22;5000.0;35.0;4548.25
2021-03-29;1000.0;7.0;909.6499999999999
2021-04-05;500.0;3.5;454.82499999999993
2021-04-19;0.0;0.0;0.0
2021-04-26;4450.0;31.150000000000002;4047.9425
2021-05-03;1000.0;7.0;909.6499999999999
2021-05-10;3000.0;21.0;2728.95
2021-05-17;3000.0;21.0;2728.95
2021-05-24;2998.0;20.986;2727.1306999999997
2021-05-31;11320.0;79.24;10297.237999999998
2021-06-14;6500.0;45.5;5912.724999999999
2021-06-21;3000.0;21.0;2728.95
2021-06-28;500.0;3.5;454.82499999999993
2021-07-05;1000.0;7.0;909.6499999999999
2021-07-12;3500.0;24.5;3183.7749999999996
2021-07-19;3184.0;22.288;2896.3255999999997
2021-08-02;2500.0;17.5;2274.125
2021-08-09;2500.0;17.5;2274.125
2021-08-16;4750.0;33.25;4320.8375
2021-08-23;12415.0;86.905;11293.30475
2021-09-06;3600.0;25.2;3274.74
2021-09-13;1000.0;7.0;909.6499999999999
2021-09-20;2315.0;16.205000000000002;2105.83975
2021-09-27;8567.0;59.969;7792.971549999999
2021-10-04;6214.0;43.498;5652.565099999999
2021-10-11;2030.0;14.21;1846.5895
2021-10-18;2300.0;16.1;2092.195
2021-10-25;0.0;0.0;0.0
2021-11-01;11440.0;80.08;10406.395999999999
2021-11-08;1455.0;10.185;1323.54075
2021-11-15;0.0;0.0;0.0
2021-11-22;0.0;0.0;0.0
2021-11-29;14889.0;104.223;13543.778849999999
2021-12-06;4000.0;28.0;3638.5999999999995
2021-12-13;3500.0;24.5;3183.7749999999996
2021-12-20;1500.0;10.5;1364.475
2021-12-27;6476.0;45.332;5890.8934
2022-01-03;2500.0;17.5;2274.125
2022-01-10;4000.0;28.0;3638.5999999999995
2022-01-17;1000.0;7.0;909.6499999999999
2022-01-24;0.0;0.0;0.0
2022-01-31;90.0;0.63;81.8685
2022-02-07;8450.0;59.15;7686.5425
2022-02-14;9925.0;69.47500000000001;9028.27625
2022-02-21;300.0;2.1;272.895
2022-02-28;0.0;0.0;0.0
2022-03-07;0.0;0.0;0.0
2022-03-14;5586.0;39.102000000000004;5081.3049
