Semana_Inicio;Produccion_Semanal;Planchas_Consumidas;Costo_Planchas
2020-12-28;38602.0;270.214;54483.24882
2021-01-04;610.0;4.2700000000000005;860.9601000000001
2021-01-11;0.0;0.0;0.0
2021-01-18;0.0;0.0;0.0
2021-02-01;0.0;0.0;0.0
2021-02-15;0.0;0.0;0.0
2021-03-01;700.0;4.9;987.9870000000001
2021-03-15;0.0;0.0;0.0
2021-03-29;0.0;0.0;0.0
2021-04-05;0.0;0.0;0.0
2021-04-12;0.0;0.0;0.0
2021-04-19;0.0;0.0;0.0
2021-05-10;0.0;0.0;0.0
2021-05-24;0.0;0.0;0.0
2021-05-31;5377.0;37.639;7589.15157
2021-06-28;0.0;0.0;0.0
2021-07-19;3050.0;21.35;4304.8005
2021-08-02;0.0;0.0;0.0
2021-08-16;0.0;0.0;0.0
2021-08-23;2736.0;19.152;3861.61776
2021-09-06;3400.0;23.8;4798.794
2021-09-20;0.0;0.0;0.0
2021-10-04;2049.0;14.343;2891.97909
2021-10-11;1.0;0.007;1.41141
2021-10-18;3091.0;21.637;4362.66831
2021-11-01;0.0;0.0;0.0
2021-11-15;3363.0;23.541;4746.57183
2021-11-29;0.0;0.0;0.0
2021-12-20;1788.0;12.516;2523.60108
2021-12-27;0.0;0.0;0.0
2022-01-03;581.0;4.067;820.02921
2022-01-10;2455.0;17.185;3465.0115499999997
2022-01-17;5032.0;35.224000000000004;7102.215120000001
2022-01-24;1795.0;12.565;2533.4809499999997
2022-01-31;0.0;0.0;0.0
2022-02-07;1065.0;7.455;1503.15165
2022-02-14;934.0;6.538;1318.25694
2022-02-28;2152.0;15.064;3037.35432
2022-03-07;6500.0;45.5;9174.164999999999
2022-03-14;6384.0;44.688;9010.44144
2022-03-21;3923.0;27.461000000000002;5536.96143
2022-04-25;10295.0;72.065;14530.46595
2022-05-02;0.0;0.0;0.0
2022-05-09;95.0;0.665;134.08395000000002
2022-05-16;2250.0;15.75;3175.6725
2022-05-23;1924.0;13.468;2715.55284
2022-06-06;5536.0;38.752;7813.56576
2022-08-01;0.0;0.0;0.0
2022-08-08;4000.0;28.0;5645.639999999999
2022-08-22;2133.0;14.931000000000001;3010.53753
2022-09-05;2517.0;17.619;3552.51897
2022-09-19;1324.0;9.268;1868.70684
2022-10-03;1950.0;13.65;2752.2495
2022-10-10;875.0;6.125;1234.9837499999999
2022-10-17;200.0;1.4000000000000001;282.28200000000004
2022-10-24;3600.0;25.2;5081.076
2022-10-31;500.0;3.5;705.7049999999999
2022-11-07;268.0;1.8760000000000001;378.25788
2022-11-14;2858.0;20.006;4033.80978
2022-11-21;450.0;3.15;635.1345
2023-01-02;1.0;0.007;1.41141
2023-01-09;275.0;1.925;388.13775
2023-01-16;7323.0;51.261;10335.755430000001
2023-01-23;3327.0;23.289;4695.7610700000005
2023-02-13;0.0;0.0;0.0
2023-02-20;2561.0;17.927;3614.62101
2023-02-27;2650.0;18.55;3740.2365
2023-03-06;1000.0;7.0;1411.4099999999999
2023-03-13;3435.0;24.045;4848.1933500000005
2023-03-20;600.0;4.2;846.846
2023-03-27;5400.0;37.800000000000004;7621.6140000000005
2023-04-10;10000.0;70.0;14114.1
2023-04-17;0.0;0.0;0.0
2023-04-24;50.0;0.35000000000000003;70.57050000000001
2023-05-01;400.0;2.8000000000000003;564.5640000000001
2023-05-08;3923.0;27.461000000000002;5536.96143
2023-05-22;2775.0;19.425;3916.66275
2023-05-29;1253.0;8.771;1768.49673
2023-06-05;5450.0;38.15;7692.184499999999
2023-06-26;966.0;6.7620000000000005;1363.42206
2023-07-10;0.0;0.0;0.0
2023-07-31;3506.0;24.542;4948.40346
2023-08-07;3247.0;22.729;4582.8482699999995
2023-08-14;2000.0;14.0;2822.8199999999997
2023-08-21;0.0;0.0;0.0
2023-09-04;0.0;0.0;0.0
2023-09-18;0.0;0.0;0.0
2023-10-02;0.0;0.0;0.0
2023-10-30;0.0;0.0;0.0
2023-11-20;0.0;0.0;0.0
2023-12-04;677.0;4.739;955.5245699999999
2023-12-18;2077.0;14.539;2931.4985699999997
2023-12-25;1969.0;13.783;2779.0662899999998
2024-01-01;0.0;0.0;0.0
2024-01-08;10031.0;70.217;14157.85371
2024-01-15;700.0;4.9;987.9870000000001
2024-01-22;0.0;0.0;0.0
2024-01-29;2657.0;18.599;3750.1163699999997
2024-02-19;500.0;3.5;705.7049999999999
2024-03-11;7620.0;53.34;10754.9442
2024-04-01;3000.0;21.0;4234.23
2024-04-08;2969.0;20.783;4190.4762900000005
2024-04-15;800.0;5.6000000000000005;1129.1280000000002
2024-04-29;1700.0;11.9;2399.397
2024-05-13;0.0;0.0;0.0
2024-05-20;2626.0;18.382;3706.3626600000002
2024-06-03;1400.0;9.8;1975.9740000000002
2024-06-17;0.0;0.0;0.0
2024-06-24;0.0;0.0;0.0
2024-07-01;171.0;1.197;241.35111
2024-07-08;1750.0;12.25;2469.9674999999997
2024-07-29;0.0;0.0;0.0
2024-08-05;341.0;2.387;481.29080999999996
2024-08-12;2295.0;16.065;3239.18595
2024-08-19;173.0;1.211;244.17393
2024-09-02;1441.0;10.087;2033.84181
2024-09-16;75.0;0.525;105.85575
2024-09-23;600.0;4.2;846.846
2024-09-30;287.0;2.009;405.07466999999997
2024-10-07;2227.0;15.589;3143.21007
2024-10-21;0.0;0.0;0.0
2024-10-28;1781.0;12.467;2513.72121
2024-11-11;1778.0;12.446;2509.4869799999997
2024-11-25;0.0;0.0;0.0
2024-12-09;590.0;4.13;832.7319
2024-12-16;0.0;0.0;0.0
2025-01-13;0.0;0.0;0.0
2025-01-20;0.0;0.0;0.0
2025-02-03;50.0;0.35000000000000003;70.57050000000001
2025-02-17;0.0;0.0;0.0
2025-02-24;874.0;6.118;1233.57234
2025-03-03;0.0;0.0;0.0
2025-03-24;2.0;0.014;2.82282
2025-03-31;0.0;0.0;0.0
2025-04-21;0.0;0.0;0.0
2025-04-28;1.0;0.007;1.41141
2025-05-26;302.0;2.114;426.24582
