Semana_Inicio;Ventas_Semanales;Produccion_Semanal;Planchas_Ventas;Planchas_Produccion;Planchas_Gap
2020-12-28;1000.0;82302.0;9.0;740.718;731.718
2021-01-04;1450.0;1450.0;13.049999999999999;13.049999999999999;0.0
2021-01-18;5785.0;5785.0;52.065;52.065;0.0
2021-02-01;820.0;300.0;7.379999999999999;2.6999999999999997;-4.68
2021-02-08;3300.0;0.0;29.7;0.0;-29.7
2021-02-15;1674.0;0.0;15.065999999999999;0.0;-15.065999999999999
2021-02-22;3863.0;0.0;34.766999999999996;0.0;-34.766999999999996
2021-03-01;1334.0;0.0;12.005999999999998;0.0;-12.005999999999998
2021-03-08;1500.0;1500.0;13.499999999999998;13.499999999999998;0.0
2021-03-15;3500.0;3500.0;31.499999999999996;31.499999999999996;0.0
2021-03-22;4000.0;4000.0;36.0;36.0;0.0
2021-03-29;347.0;347.0;3.1229999999999998;3.1229999999999998;0.0
2021-04-12;2000.0;2000.0;18.0;18.0;0.0
2021-04-19;3800.0;3500.0;34.199999999999996;31.499999999999996;-2.6999999999999993
2021-04-26;4279.0;3779.0;38.510999999999996;34.010999999999996;-4.5
2021-05-10;5000.0;5000.0;45.0;45.0;0.0
2021-05-17;3500.0;3500.0;31.499999999999996;31.499999999999996;0.0
2021-05-24;5000.0;5000.0;45.0;45.0;0.0
2021-05-31;0.0;5129.0;0.0;46.160999999999994;46.160999999999994
2021-06-07;2000.0;2000.0;18.0;18.0;0.0
2021-06-14;5500.0;5500.0;49.49999999999999;49.49999999999999;0.0
2021-06-21;4000.0;4000.0;36.0;36.0;0.0
2021-07-05;1050.0;1000.0;9.45;9.0;-0.4499999999999993
2021-07-12;1000.0;1000.0;9.0;9.0;0.0
2021-07-19;4500.0;4500.0;40.5;40.5;0.0
2021-08-02;2846.0;2546.0;25.613999999999997;22.913999999999998;-2.6999999999999993
2021-08-09;2000.0;2000.0;18.0;18.0;0.0
2021-08-16;2000.0;2000.0;18.0;18.0;0.0
2021-08-23;500.0;500.0;4.5;4.5;0.0
2021-09-06;3383.0;3383.0;30.447;30.447;0.0
2021-09-13;7000.0;18756.0;62.99999999999999;168.80399999999997;105.80399999999997
2021-09-20;3500.0;3500.0;31.499999999999996;31.499999999999996;0.0
2021-09-27;1251.0;3576.0;11.258999999999999;32.184;20.924999999999997
2021-10-11;87181.0;5700.0;784.6289999999999;51.3;-733.329
2021-10-18;2150.0;7765.0;19.349999999999998;69.88499999999999;50.535
2021-10-25;3208.0;1000.0;28.871999999999996;9.0;-19.871999999999996
2021-11-01;2642.0;500.0;23.778;4.5;-19.278
2021-11-08;3339.0;6650.0;30.051;59.849999999999994;29.798999999999996
2021-11-15;4130.0;2000.0;37.169999999999995;18.0;-19.169999999999995
2021-11-22;561.0;0.0;5.0489999999999995;0.0;-5.0489999999999995
2021-11-29;4435.0;2000.0;39.915;18.0;-21.915
2021-12-06;8382.0;7464.0;75.43799999999999;67.176;-8.261999999999986
2021-12-13;6822.0;3250.0;61.397999999999996;29.249999999999996;-32.147999999999996
2021-12-20;3470.0;9316.0;31.229999999999997;83.844;52.614
2021-12-27;881.0;0.0;7.928999999999999;0.0;-7.928999999999999
2022-01-03;5540.0;3500.0;49.86;31.499999999999996;-18.360000000000003
2022-01-10;3403.0;1900.0;30.627;17.099999999999998;-13.527000000000001
2022-01-17;361.0;0.0;3.2489999999999997;0.0;-3.2489999999999997
2022-01-24;7203.0;11336.0;64.827;102.02399999999999;37.19699999999999
2022-01-31;2969.0;0.0;26.720999999999997;0.0;-26.720999999999997
2022-02-07;1125.0;0.0;10.125;0.0;-10.125
2022-02-14;4914.0;9000.0;44.226;81.0;36.774
2022-02-21;1708.0;3800.0;15.371999999999998;34.199999999999996;18.827999999999996
2022-02-28;1665.0;2550.0;14.985;22.95;7.965
2022-03-07;1780.0;0.0;16.02;0.0;-16.02
2022-03-14;1663.0;0.0;14.966999999999999;0.0;-14.966999999999999
2022-03-21;1841.0;4735.0;16.569;42.614999999999995;26.045999999999996
2022-03-28;2399.0;0.0;21.590999999999998;0.0;-21.590999999999998
2022-04-04;1228.0;5645.0;11.052;50.80499999999999;39.75299999999999
2022-04-11;1420.0;0.0;12.78;0.0;-12.78
2022-04-18;1835.0;0.0;16.514999999999997;0.0;-16.514999999999997
2022-04-25;2017.0;0.0;18.153;0.0;-18.153
2022-05-02;4770.0;4933.0;42.93;44.397;1.4669999999999987
2022-05-09;1341.0;5667.0;12.068999999999999;51.00299999999999;38.934
2022-05-16;550.0;0.0;4.949999999999999;0.0;-4.949999999999999
2022-05-23;605.0;5641.0;5.444999999999999;50.769;45.324
2022-05-30;6340.0;0.0;57.059999999999995;0.0;-57.059999999999995
2022-06-06;2205.0;0.0;19.845;0.0;-19.845
2022-06-13;202.0;0.0;1.8179999999999998;0.0;-1.8179999999999998
2022-06-20;1230.0;3406.0;11.069999999999999;30.653999999999996;19.583999999999996
2022-06-27;603.0;0.0;5.427;0.0;-5.427
2022-07-04;557.0;0.0;5.013;0.0;-5.013
2022-07-11;2254.0;0.0;20.285999999999998;0.0;-20.285999999999998
2022-07-18;2118.0;0.0;19.061999999999998;0.0;-19.061999999999998
2022-07-25;1200.0;0.0;10.799999999999999;0.0;-10.799999999999999
2022-08-01;1167.0;0.0;10.502999999999998;0.0;-10.502999999999998
2022-08-08;454.0;0.0;4.085999999999999;0.0;-4.085999999999999
2022-08-15;1526.0;5651.0;13.733999999999998;50.858999999999995;37.125
2022-08-22;1774.0;1580.0;15.966;14.219999999999999;-1.7460000000000004
2022-08-29;1010.0;0.0;9.09;0.0;-9.09
2022-09-05;1100.0;0.0;9.899999999999999;0.0;-9.899999999999999
2022-09-12;611.0;5656.0;5.499;50.903999999999996;45.404999999999994
2022-09-19;541.0;0.0;4.869;0.0;-4.869
2022-09-26;593.0;0.0;5.337;0.0;-5.337
2022-10-03;521.0;0.0;4.689;0.0;-4.689
2022-10-10;1504.0;0.0;13.536;0.0;-13.536
2022-10-17;1540.0;0.0;13.86;0.0;-13.86
2022-10-24;969.0;0.0;8.721;0.0;-8.721
2022-10-31;1169.0;0.0;10.520999999999999;0.0;-10.520999999999999
2022-11-07;1654.0;5547.0;14.886;49.922999999999995;35.03699999999999
2022-11-14;1665.0;0.0;14.985;0.0;-14.985
2022-11-21;1332.0;0.0;11.988;0.0;-11.988
2022-11-28;1173.0;2083.0;10.556999999999999;18.747;8.190000000000001
2022-12-05;1750.0;0.0;15.749999999999998;0.0;-15.749999999999998
2022-12-12;1117.0;3463.0;10.052999999999999;31.166999999999998;21.113999999999997
2022-12-19;906.0;0.0;8.154;0.0;-8.154
2022-12-26;618.0;0.0;5.561999999999999;0.0;-5.561999999999999
2023-01-02;578.0;2000.0;5.202;18.0;12.798
2023-01-09;1945.0;1368.0;17.505;12.312;-5.193
2023-01-16;1051.0;0.0;9.459;0.0;-9.459
2023-01-23;550.0;0.0;4.949999999999999;0.0;-4.949999999999999
2023-01-30;1037.0;4550.0;9.332999999999998;40.949999999999996;31.616999999999997
2023-02-06;650.0;1241.0;5.85;11.168999999999999;5.318999999999999
2023-02-13;2630.0;0.0;23.669999999999998;0.0;-23.669999999999998
2023-02-20;2078.0;0.0;18.701999999999998;0.0;-18.701999999999998
2023-03-06;486.0;6716.0;4.374;60.443999999999996;56.06999999999999
2023-03-13;1230.0;0.0;11.069999999999999;0.0;-11.069999999999999
2023-03-20;191.0;0.0;1.7189999999999999;0.0;-1.7189999999999999
2023-03-27;722.0;0.0;6.497999999999999;0.0;-6.497999999999999
2023-04-03;900.0;0.0;8.1;0.0;-8.1
2023-04-10;572.0;5556.0;5.148;50.004;44.855999999999995
2023-04-17;3605.0;5603.0;32.445;50.427;17.982
2023-04-24;2846.0;0.0;25.613999999999997;0.0;-25.613999999999997
2023-05-01;845.0;0.0;7.6049999999999995;0.0;-7.6049999999999995
2023-05-08;830.0;0.0;7.47;0.0;-7.47
2023-05-15;2032.0;11350.0;18.288;102.14999999999999;83.862
2023-05-22;1019.0;0.0;9.171;0.0;-9.171
2023-05-29;1300.0;0.0;11.7;0.0;-11.7
2023-06-05;1725.0;0.0;15.524999999999999;0.0;-15.524999999999999
2023-06-12;797.0;11303.0;7.172999999999999;101.72699999999999;94.55399999999999
2023-06-19;1455.0;0.0;13.094999999999999;0.0;-13.094999999999999
2023-06-26;3495.0;0.0;31.455;0.0;-31.455
2023-07-03;1010.0;0.0;9.09;0.0;-9.09
2023-07-10;1164.0;0.0;10.475999999999999;0.0;-10.475999999999999
2023-07-17;580.0;0.0;5.22;0.0;-5.22
2023-07-24;1169.0;51.0;10.520999999999999;0.45899999999999996;-10.062
2023-07-31;850.0;25.0;7.6499999999999995;0.22499999999999998;-7.425
2023-08-07;1025.0;0.0;9.225;0.0;-9.225
2023-08-14;2372.0;0.0;21.348;0.0;-21.348
2023-08-21;1225.0;0.0;11.024999999999999;0.0;-11.024999999999999
2023-08-28;300.0;0.0;2.6999999999999997;0.0;-2.6999999999999997
2023-09-04;1459.0;5684.0;13.130999999999998;51.156;38.025
2023-09-11;1092.0;0.0;9.828;0.0;-9.828
2023-09-18;1712.0;0.0;15.408;0.0;-15.408
2023-09-25;959.0;0.0;8.631;0.0;-8.631
2023-10-02;938.0;0.0;8.442;0.0;-8.442
2023-10-09;2622.0;0.0;23.598;0.0;-23.598
2023-10-16;3228.0;5676.0;29.051999999999996;51.083999999999996;22.032
2023-10-23;1122.0;1000.0;10.097999999999999;9.0;-1.097999999999999
2023-10-30;446.0;3406.0;4.013999999999999;30.653999999999996;26.639999999999997
2023-11-06;1507.0;0.0;13.562999999999999;0.0;-13.562999999999999
2023-11-13;921.0;0.0;8.289;0.0;-8.289
2023-11-20;750.0;0.0;6.749999999999999;0.0;-6.749999999999999
2023-11-27;573.0;0.0;5.157;0.0;-5.157
2023-12-04;2605.0;5685.0;23.444999999999997;51.165;27.720000000000002
2023-12-11;3401.0;0.0;30.608999999999998;0.0;-30.608999999999998
2023-12-18;482.0;0.0;4.338;0.0;-4.338
2023-12-25;1250.0;5675.0;11.25;51.074999999999996;39.824999999999996
2024-01-01;688.0;0.0;6.191999999999999;0.0;-6.191999999999999
2024-01-08;3989.0;0.0;35.900999999999996;0.0;-35.900999999999996
2024-01-15;1750.0;0.0;15.749999999999998;0.0;-15.749999999999998
2024-01-22;670.0;0.0;6.029999999999999;0.0;-6.029999999999999
2024-01-29;1650.0;4550.0;14.85;40.949999999999996;26.099999999999994
2024-02-05;1585.0;0.0;14.264999999999999;0.0;-14.264999999999999
2024-02-12;1264.0;0.0;11.376;0.0;-11.376
2024-02-19;2392.0;3949.0;21.528;35.541;14.012999999999998
2024-02-26;1124.0;0.0;10.116;0.0;-10.116
2024-03-04;426.0;5700.0;3.8339999999999996;51.3;47.465999999999994
2024-03-11;1040.0;0.0;9.36;0.0;-9.36
2024-03-18;700.0;0.0;6.3;0.0;-6.3
2024-03-25;274.0;0.0;2.4659999999999997;0.0;-2.4659999999999997
2024-04-01;2751.0;1.0;24.758999999999997;0.009;-24.749999999999996
2024-04-08;846.0;2350.0;7.613999999999999;21.15;13.536
2024-04-15;1335.0;4445.0;12.014999999999999;40.004999999999995;27.989999999999995
2024-04-22;706.0;0.0;6.353999999999999;0.0;-6.353999999999999
2024-04-29;1276.0;0.0;11.484;0.0;-11.484
2024-05-06;2322.0;2000.0;20.898;18.0;-2.8979999999999997
2024-05-13;2327.0;3665.0;20.942999999999998;32.985;12.042000000000002
2024-05-20;1959.0;1000.0;17.631;9.0;-8.631
2024-05-27;1363.0;6959.0;12.267;62.63099999999999;50.36399999999999
2024-06-03;1500.0;0.0;13.499999999999998;0.0;-13.499999999999998
2024-06-10;789.0;5624.0;7.100999999999999;50.616;43.515
2024-06-17;2273.0;0.0;20.456999999999997;0.0;-20.456999999999997
2024-06-24;2740.0;986.0;24.659999999999997;8.873999999999999;-15.785999999999998
2024-07-01;1719.0;0.0;15.470999999999998;0.0;-15.470999999999998
2024-07-08;1100.0;3680.0;9.899999999999999;33.12;23.22
2024-07-15;1536.0;0.0;13.823999999999998;0.0;-13.823999999999998
2024-07-22;1130.0;0.0;10.17;0.0;-10.17
2024-07-29;1535.0;1808.0;13.815;16.272;2.456999999999999
2024-08-05;1260.0;0.0;11.34;0.0;-11.34
2024-08-12;1918.0;0.0;17.262;0.0;-17.262
2024-08-19;3214.0;7960.0;28.926;71.64;42.714
2024-08-26;848.0;0.0;7.632;0.0;-7.632
2024-09-02;2965.0;0.0;26.685;0.0;-26.685
2024-09-09;805.0;0.0;7.244999999999999;0.0;-7.244999999999999
2024-09-16;1750.0;0.0;15.749999999999998;0.0;-15.749999999999998
2024-09-23;1060.0;885.0;9.54;7.964999999999999;-1.5750000000000002
2024-09-30;1220.0;5637.0;10.979999999999999;50.733;39.753
2024-10-07;1290.0;0.0;11.61;0.0;-11.61
2024-10-14;783.0;0.0;7.047;0.0;-7.047
2024-10-21;1570.0;5650.0;14.129999999999999;50.849999999999994;36.72
2024-10-28;1782.0;0.0;16.038;0.0;-16.038
2024-11-04;2133.0;0.0;19.197;0.0;-19.197
2024-11-11;2436.0;0.0;21.924;0.0;-21.924
2024-11-18;1393.0;9090.0;12.536999999999999;81.80999999999999;69.273
2024-11-25;805.0;0.0;7.244999999999999;0.0;-7.244999999999999
2024-12-02;845.0;3403.0;7.6049999999999995;30.627;23.022
2024-12-09;1669.0;0.0;15.020999999999999;0.0;-15.020999999999999
2024-12-16;396.0;0.0;3.5639999999999996;0.0;-3.5639999999999996
2024-12-23;1219.0;0.0;10.970999999999998;0.0;-10.970999999999998
2024-12-30;619.0;0.0;5.571;0.0;-5.571
2025-01-06;930.0;0.0;8.37;0.0;-8.37
2025-01-13;2487.0;0.0;22.383;0.0;-22.383
2025-01-20;1701.0;0.0;15.309;0.0;-15.309
2025-01-27;774.0;0.0;6.965999999999999;0.0;-6.965999999999999
2025-02-03;1210.0;0.0;10.889999999999999;0.0;-10.889999999999999
2025-02-10;806.0;0.0;7.254;0.0;-7.254
