Semana_Inicio;Ventas_Semanales;Produccion_Semanal;Planchas_Ventas;Planchas_Produccion;Planchas_Gap
2020-12-28;0.0;7031.0;0.0;49.217;49.217
2021-02-01;0.0;4.0;0.0;0.028;0.028
2021-05-17;110.0;0.0;0.77;0.0;-0.77
2021-05-24;300.0;0.0;2.1;0.0;-2.1
2021-05-31;95.0;972.0;0.665;6.804;6.139
2021-06-07;600.0;0.0;4.2;0.0;-4.2
2021-06-14;450.0;0.0;3.15;0.0;-3.15
2021-06-21;960.0;0.0;6.72;0.0;-6.72
2021-07-05;1100.0;500.0;7.7;3.5;-4.2
2021-07-19;1190.0;400.0;8.33;2.8000000000000003;-5.529999999999999
2021-08-02;500.0;500.0;3.5;3.5;0.0
2021-08-09;900.0;300.0;6.3;2.1;-4.199999999999999
2021-08-16;1000.0;2292.0;7.0;16.044;9.044
2021-08-23;450.0;1686.0;3.15;11.802;8.652
2021-08-30;1.0;0.0;0.007;0.0;-0.007
2021-09-06;1000.0;1000.0;7.0;7.0;0.0
2021-09-20;900.0;2176.0;6.3;15.232000000000001;8.932000000000002
2021-09-27;1800.0;459.0;12.6;3.213;-9.387
2021-10-11;4915.0;0.0;34.405;0.0;-34.405
2021-10-18;1700.0;900.0;11.9;6.3;-5.6000000000000005
2021-10-25;3205.0;5098.0;22.435;35.686;13.251000000000001
2021-11-01;330.0;0.0;2.31;0.0;-2.31
2021-11-08;142.0;0.0;0.994;0.0;-0.994
2021-11-15;988.0;1299.0;6.916;9.093;2.1769999999999996
2021-11-22;1030.0;800.0;7.21;5.6000000000000005;-1.6099999999999994
2021-11-29;6.0;0.0;0.042;0.0;-0.042
2021-12-06;999.0;599.0;6.993;4.1930000000000005;-2.8
2021-12-13;940.0;0.0;6.58;0.0;-6.58
2021-12-20;200.0;0.0;1.4000000000000001;0.0;-1.4000000000000001
2021-12-27;1000.0;2445.0;7.0;17.115000000000002;10.115000000000002
2022-01-03;900.0;900.0;6.3;6.3;0.0
2022-01-10;516.0;245.0;3.612;1.715;-1.897
2022-01-17;20.0;0.0;0.14;0.0;-0.14
2022-01-24;45.0;0.0;0.315;0.0;-0.315
2022-01-31;4273.0;6000.0;29.911;42.0;12.088999999999999
2022-02-07;4570.0;4031.0;31.990000000000002;28.217000000000002;-3.7729999999999997
2022-02-14;676.0;0.0;4.732;0.0;-4.732
2022-02-21;490.0;0.0;3.43;0.0;-3.43
2022-02-28;10.0;0.0;0.07;0.0;-0.07
2022-03-07;150.0;1300.0;1.05;9.1;8.049999999999999
2022-03-14;79.0;2.0;0.553;0.014;-0.539
2022-03-21;651.0;0.0;4.557;0.0;-4.557
2022-03-28;1500.0;1598.0;10.5;11.186;0.6859999999999999
2022-04-11;1400.0;0.0;9.8;0.0;-9.8
2022-04-18;12.0;0.0;0.084;0.0;-0.084
2022-04-25;430.0;13.0;3.0100000000000002;0.091;-2.919
2022-05-09;100.0;100.0;0.7000000000000001;0.7000000000000001;0.0
2022-05-23;1600.0;2589.0;11.200000000000001;18.123;6.923
2022-05-30;3504.0;3012.0;24.528000000000002;21.084;-3.4440000000000026
2022-06-06;75.0;870.0;0.525;6.09;5.5649999999999995
2022-06-13;204.0;0.0;1.428;0.0;-1.428
2022-06-27;126.0;0.0;0.882;0.0;-0.882
2022-07-04;150.0;0.0;1.05;0.0;-1.05
2022-07-11;1.0;0.0;0.007;0.0;-0.007
2022-07-18;100.0;0.0;0.7000000000000001;0.0;-0.7000000000000001
2022-07-25;100.0;0.0;0.7000000000000001;0.0;-0.7000000000000001
2022-08-01;150.0;0.0;1.05;0.0;-1.05
2022-08-08;151.0;0.0;1.057;0.0;-1.057
2022-08-15;300.0;0.0;2.1;0.0;-2.1
2022-08-22;20.0;0.0;0.14;0.0;-0.14
2022-08-29;20.0;2593.0;0.14;18.151;18.011
2022-09-05;5.0;0.0;0.035;0.0;-0.035
2022-09-12;151.0;0.0;1.057;0.0;-1.057
