Semana_Inicio;Ventas_Semanales;Produccion_Semanal;Planchas_Ventas;Planchas_Produccion;Planchas_Gap
2020-12-28;631.0;38602.0;4.417;270.214;265.797
2021-01-04;0.0;610.0;0.0;4.2700000000000005;4.2700000000000005
2021-01-11;1000.0;0.0;7.0;0.0;-7.0
2021-01-18;4660.0;0.0;32.62;0.0;-32.62
2021-02-01;2000.0;0.0;14.0;0.0;-14.0
2021-02-15;684.0;0.0;4.788;0.0;-4.788
2021-03-01;4681.0;700.0;32.767;4.9;-27.867000000000004
2021-03-15;700.0;0.0;4.9;0.0;-4.9
2021-03-29;1796.0;0.0;12.572000000000001;0.0;-12.572000000000001
2021-04-05;2700.0;0.0;18.900000000000002;0.0;-18.900000000000002
2021-04-12;260.0;0.0;1.82;0.0;-1.82
2021-04-19;5805.0;0.0;40.635;0.0;-40.635
2021-05-10;1855.0;0.0;12.985;0.0;-12.985
2021-05-24;4000.0;0.0;28.0;0.0;-28.0
2021-05-31;3250.0;5377.0;22.75;37.639;14.889000000000003
2021-06-28;217.0;0.0;1.5190000000000001;0.0;-1.5190000000000001
2021-07-19;3050.0;3050.0;21.35;21.35;0.0
2021-08-02;21.0;0.0;0.147;0.0;-0.147
2021-08-16;150.0;0.0;1.05;0.0;-1.05
2021-08-23;4300.0;2736.0;30.1;19.152;-10.948
2021-09-06;2700.0;3400.0;18.900000000000002;23.8;4.899999999999999
2021-09-20;1500.0;0.0;10.5;0.0;-10.5
2021-10-04;0.0;2049.0;0.0;14.343;14.343
2021-10-11;10500.0;1.0;73.5;0.007;-73.493
2021-10-18;1000.0;3091.0;7.0;21.637;14.637
2021-11-01;50.0;0.0;0.35000000000000003;0.0;-0.35000000000000003
2021-11-15;3293.0;3363.0;23.051000000000002;23.541;0.48999999999999844
2021-11-29;2176.0;0.0;15.232000000000001;0.0;-15.232000000000001
2021-12-20;324.0;1788.0;2.2680000000000002;12.516;10.248
2021-12-27;1000.0;0.0;7.0;0.0;-7.0
2022-01-03;1045.0;581.0;7.315;4.067;-3.248
2022-01-10;2455.0;2455.0;17.185;17.185;0.0
2022-01-17;4950.0;5032.0;34.65;35.224000000000004;0.5740000000000052
2022-01-24;1600.0;1795.0;11.200000000000001;12.565;1.3649999999999984
2022-01-31;200.0;0.0;1.4000000000000001;0.0;-1.4000000000000001
2022-02-07;1065.0;1065.0;7.455;7.455;0.0
2022-02-14;1000.0;934.0;7.0;6.538;-0.46199999999999974
2022-02-28;2000.0;2152.0;14.0;15.064;1.064
2022-03-07;4000.0;6500.0;28.0;45.5;17.5
2022-03-14;9047.0;6384.0;63.329;44.688;-18.641
2022-03-21;3923.0;3923.0;27.461000000000002;27.461000000000002;0.0
2022-04-25;6000.0;10295.0;42.0;72.065;30.064999999999998
2022-05-02;4000.0;0.0;28.0;0.0;-28.0
2022-05-09;0.0;95.0;0.0;0.665;0.665
2022-05-16;2200.0;2250.0;15.4;15.75;0.34999999999999964
2022-05-23;1108.0;1924.0;7.756;13.468;5.712
