;correlacion;pvalor;abs_corr
Salida_Max;0.9540006454680268;0.0;0.9540006454680268
Salida_Std;0.9496913592608266;0.0;0.9496913592608266
Salida_Promedio;0.5265159644653732;1.100776248299693e-99;0.5265159644653732
MA_13;0.2247652057210548;2.979289336067587e-17;0.2247652057210548
MA_8;0.20442762191252328;1.7799131607536442e-14;0.20442762191252328
MA_4;0.17061434006633625;1.8081656913093347e-10;0.17061434006633625
MA_2;0.13855744958407953;2.396895813958677e-07;0.13855744958407953
Lag_13;0.11411585026484505;3.853837122273836e-05;0.11411585026484505
Lag_1;0.10628032639119307;7.674833077037424e-05;0.10628032639119307
Lag_2;0.10007278977345033;0.00020506592825150934;0.10007278977345033
Lag_3;0.09527767140639663;0.0004236163851541296;0.09527767140639663
Lag_4;0.08916016204468716;0.0010048239258997407;0.08916016204468716
Trimestre;0.049295145380736566;0.06655465836953411;0.049295145380736566
Mes;0.030600460344238852;0.25492681952033575;0.030600460344238852
Salida_Min;0.022283944799703526;0.40712485552476646;0.022283944799703526
Empresa_Modo;0.0;1.0;0.0
Canal_Modo;0.0;1.0;0.0
Punto_Modo;0.0;1.0;0.0
