Código;Descripción;Fecha;Documento;Número;Bodega;Entrada;Salida;Saldo;Valor Unitario;Entrada.1;Salida.1;Saldo.1;Costo Unitario;Empresa_Cliente;Canal_Venta;Punto_Venta
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-01-01;Guía de remisión - R;2.0;Almacen Central;0.0;600.0;42860.0;0.0;0.0;600.0;42860.0;1.0;ELCONSI;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-01-12;Guía de remisión - R;3.0;Almacen Central;0.0;3000.0;95776.0;0.0;0.0;2999.05;95746.44;0.999684;SETECOM AIR;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-01-12;Guía de remisión - R;5.0;Almacen Central;0.0;2500.0;96276.0;0.0;0.0;2499.21;96246.28;0.999684;H&R ELECTRICAL ENGINEERS S.A.C.;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-01-13;Guía de remisión - R;6.0;Almacen Central;0.0;3000.0;95776.0;0.0;0.0;2999.05;95746.44;0.999684;SETECOM AIR;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-01-15;Guía de remisión - R;7.0;Almacen Central;0.0;1000.0;97776.0;0.0;0.0;999.68;97745.81;0.999684;PROCISA INGENIEROS S.A.C.;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-01-18;Guía de remisión - R;9.0;Almacen Central;0.0;648.0;98128.0;0.0;0.0;647.8;98097.69;0.999684;PROCISA INGENIEROS S.A.C.;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-01-18;Guía de remisión - R;8.0;Almacen Central;0.0;1144.0;97632.0;0.0;0.0;1143.64;97601.85;0.999684;PROCISA INGENIEROS S.A.C.;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-01-28;Guía de remisión - R;13.0;Almacen Central;0.0;1200.0;96432.0;0.0;0.0;1199.62;96402.23;0.999684;NEVADO CONSTRUCTORA;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-02-03;Guía de remisión - R;23.0;Almacen Central;0.0;400.0;97232.0;0.0;0.0;399.87;97201.98;0.999684;SETECOM AIR;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-02-03;Guía de remisión - R;15.0;Almacen Central;0.0;1000.0;96232.0;0.0;0.0;999.68;96202.3;0.999684;SETECOM AIR;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-02-03;Guía de remisión - R;16.0;Almacen Central;0.0;400.0;96832.0;0.0;0.0;399.87;96802.11;0.999684;SETECOM AIR;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-02-04;Guía de remisión - R;28.0;Almacen Central;0.0;600.0;96632.0;0.0;0.0;599.81;96602.17;0.999684;Consultores en Ingeniería y Mantenimiento General S.A.C.;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-02-04;Guía de remisión - R;30.0;Almacen Central;0.0;200.0;96432.0;0.0;0.0;199.94;96402.23;0.999684;Madrid INMOBILIARIA;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-02-05;Guía de remisión - R;33.0;Almacen Central;0.0;600.0;95832.0;0.0;0.0;599.81;95802.42;0.999684;DRAGON;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-02-06;Guía de remisión - R;35.0;Almacen Central;0.0;132.0;95700.0;0.0;0.0;131.96;95670.46;0.999684;PROCISA INGENIEROS S.A.C.;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-02-06;Guía de remisión - R;61.0;Almacen Central;0.0;600.0;95100.0;0.0;0.0;599.81;95070.65;0.999684;PROCISA INGENIEROS S.A.C.;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-02-09;Guía de remisión - R;38.0;Almacen Central;0.0;300.0;94800.0;0.0;0.0;299.91;94770.74;0.999684;Madrid INMOBILIARIA;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-02-12;Guía de remisión - R;43.0;Almacen Central;0.0;200.0;94800.0;0.0;0.0;199.98;94791.1;0.999893;CIM;Presencial;Sector B
