Código;Año;Semana;Fecha;Salida;Lag_1;Lag_2;Lag_3;Lag_4;Lag_13;MA_2;MA_13
CER 001;2020;53;2020-12-28;5997.0;;;;;;;
CER 001;2021;1;2021-01-04;1500.0;5997.0;;;;;5997.0;5997.0
CER 001;2021;3;2021-01-18;4600.0;1500.0;5997.0;;;;3748.5;3748.5
CER 001;2021;4;2021-01-25;6000.0;4600.0;1500.0;5997.0;;;3050.0;4032.3333333333335
CER 001;2021;5;2021-02-01;5816.0;6000.0;4600.0;1500.0;5997.0;;5300.0;4524.25
CER 001;2021;6;2021-02-08;2618.0;5816.0;6000.0;4600.0;1500.0;;5908.0;4782.6
CER 001;2021;7;2021-02-15;5404.0;2618.0;5816.0;6000.0;4600.0;;4217.0;4421.833333333333
CER 001;2021;8;2021-02-22;2916.0;5404.0;2618.0;5816.0;6000.0;;4011.0;4562.142857142857
CER 001;2021;9;2021-03-01;2096.0;2916.0;5404.0;2618.0;5816.0;;4160.0;4356.375
CER 001;2021;10;2021-03-08;8700.0;2096.0;2916.0;5404.0;2618.0;;2506.0;4105.222222222223
CER 001;2021;12;2021-03-22;3100.0;8700.0;2096.0;2916.0;5404.0;;5398.0;4564.7
CER 001;2021;13;2021-03-29;3000.0;3100.0;8700.0;2096.0;2916.0;;5900.0;4431.545454545455
CER 001;2021;14;2021-04-05;5000.0;3000.0;3100.0;8700.0;2096.0;;3050.0;4312.25
CER 001;2021;16;2021-04-19;7313.0;5000.0;3000.0;3100.0;8700.0;5997.0;4000.0;4365.153846153846
CER 001;2021;17;2021-04-26;1500.0;7313.0;5000.0;3000.0;3100.0;1500.0;6156.5;4466.384615384615
CER 001;2021;19;2021-05-10;3000.0;1500.0;7313.0;5000.0;3000.0;4600.0;4406.5;4466.384615384615
CER 001;2021;20;2021-05-17;1500.0;3000.0;1500.0;7313.0;5000.0;6000.0;2250.0;4343.307692307692
CER 001;2021;21;2021-05-24;3500.0;1500.0;3000.0;1500.0;7313.0;5816.0;2250.0;3997.153846153846
CER 001;2021;22;2021-05-31;500.0;3500.0;1500.0;3000.0;1500.0;2618.0;2500.0;3819.0
CER 001;2021;23;2021-06-07;1500.0;500.0;3500.0;1500.0;3000.0;5404.0;2000.0;3656.076923076923
CER 001;2021;24;2021-06-14;5000.0;1500.0;500.0;3500.0;1500.0;2916.0;1000.0;3355.769230769231
CER 001;2021;25;2021-06-21;3000.0;5000.0;1500.0;500.0;3500.0;2096.0;3250.0;3516.076923076923
CER 001;2021;26;2021-06-28;3950.0;3000.0;5000.0;1500.0;500.0;8700.0;4000.0;3585.6153846153848
CER 001;2021;27;2021-07-05;4300.0;3950.0;3000.0;5000.0;1500.0;3100.0;3475.0;3220.230769230769
CER 001;2021;28;2021-07-12;7800.0;4300.0;3950.0;3000.0;5000.0;3000.0;4125.0;3312.538461538461
CER 001;2021;29;2021-07-19;5400.0;7800.0;4300.0;3950.0;3000.0;5000.0;6050.0;3681.769230769231
CER 001;2021;31;2021-08-02;6512.0;5400.0;7800.0;4300.0;3950.0;7313.0;6600.0;3712.538461538461
CER 001;2021;32;2021-08-09;6201.0;6512.0;5400.0;7800.0;4300.0;1500.0;5956.0;3650.923076923077
CER 001;2021;33;2021-08-16;4000.0;6201.0;6512.0;5400.0;7800.0;3000.0;6356.5;4012.538461538461
CER 001;2021;34;2021-08-23;1334.0;4000.0;6201.0;6512.0;5400.0;1500.0;5100.5;4089.4615384615386
CER 001;2021;35;2021-08-30;2500.0;1334.0;4000.0;6201.0;6512.0;3500.0;2667.0;4076.692307692308
CER 001;2021;36;2021-09-06;4200.0;2500.0;1334.0;4000.0;6201.0;500.0;1917.0;3999.769230769231
CER 001;2021;38;2021-09-20;10366.0;4200.0;2500.0;1334.0;4000.0;1500.0;3350.0;4284.384615384615
CER 001;2021;39;2021-09-27;9005.0;10366.0;4200.0;2500.0;1334.0;5000.0;7283.0;4966.384615384615
CER 001;2021;41;2021-10-11;125386.0;9005.0;10366.0;4200.0;2500.0;3000.0;9685.5;5274.461538461538
CER 001;2021;42;2021-10-18;4546.0;125386.0;9005.0;10366.0;4200.0;3950.0;67195.5;14688.76923076923
CER 001;2021;43;2021-10-25;6632.0;4546.0;125386.0;9005.0;10366.0;4300.0;64966.0;14734.615384615385
CER 001;2021;44;2021-11-01;7595.0;6632.0;4546.0;125386.0;9005.0;7800.0;5589.0;14914.0
CER 001;2021;45;2021-11-08;8803.0;7595.0;6632.0;4546.0;125386.0;5400.0;7113.5;14898.23076923077
CER 001;2021;46;2021-11-15;8488.0;8803.0;7595.0;6632.0;4546.0;6512.0;8199.0;15160.0
CER 001;2021;47;2021-11-22;8054.0;8488.0;8803.0;7595.0;6632.0;6201.0;8645.5;15312.0
CER 001;2021;48;2021-11-29;3768.0;8054.0;8488.0;8803.0;7595.0;4000.0;8271.0;15454.53846153846
CER 001;2021;49;2021-12-06;6051.0;3768.0;8054.0;8488.0;8803.0;1334.0;5911.0;15436.692307692309
CER 001;2021;50;2021-12-13;7783.0;6051.0;3768.0;8054.0;8488.0;2500.0;4909.5;15799.53846153846
CER 001;2021;51;2021-12-20;4655.0;7783.0;6051.0;3768.0;8054.0;4200.0;6917.0;16205.923076923076
CER 001;2021;52;2021-12-27;3502.0;4655.0;7783.0;6051.0;3768.0;10366.0;6219.0;16240.923076923076
CER 001;2022;1;2022-01-03;6475.0;3502.0;4655.0;7783.0;6051.0;9005.0;4078.5;15712.923076923076
CER 001;2022;2;2022-01-10;13730.0;6475.0;3502.0;4655.0;7783.0;125386.0;4988.5;15518.307692307691
CER 001;2022;3;2022-01-17;3170.0;13730.0;6475.0;3502.0;4655.0;4546.0;10102.5;6929.384615384615
CER 001;2022;4;2022-01-24;3679.0;3170.0;13730.0;6475.0;3502.0;6632.0;8450.0;6823.538461538462
CER 001;2022;5;2022-01-31;11525.0;3679.0;3170.0;13730.0;6475.0;7595.0;3424.5;6596.384615384615
CER 001;2022;6;2022-02-07;2647.0;11525.0;3679.0;3170.0;13730.0;8803.0;7602.0;6898.692307692308
CER 001;2022;7;2022-02-14;4316.0;2647.0;11525.0;3679.0;3170.0;8488.0;7086.0;6425.153846153846
CER 001;2022;8;2022-02-21;3753.0;4316.0;2647.0;11525.0;3679.0;8054.0;3481.5;6104.2307692307695
CER 001;2022;9;2022-02-28;2246.0;3753.0;4316.0;2647.0;11525.0;3768.0;4034.5;5773.384615384615
CER 001;2022;10;2022-03-07;1175.0;2246.0;3753.0;4316.0;2647.0;6051.0;2999.5;5656.307692307692
CER 001;2022;11;2022-03-14;1862.0;1175.0;2246.0;3753.0;4316.0;7783.0;1710.5;5281.2307692307695
CER 001;2022;12;2022-03-21;2679.0;1862.0;1175.0;2246.0;3753.0;4655.0;1518.5;4825.769230769231
CER 001;2022;13;2022-03-28;1559.0;2679.0;1862.0;1175.0;2246.0;3502.0;2270.5;4673.769230769231
CER 001;2022;14;2022-04-04;2725.0;1559.0;2679.0;1862.0;1175.0;6475.0;2119.0;4524.307692307692
CER 001;2022;15;2022-04-11;675.0;2725.0;1559.0;2679.0;1862.0;13730.0;2142.0;4235.846153846154
CER 001;2022;16;2022-04-18;2605.0;675.0;2725.0;1559.0;2679.0;3170.0;1700.0;3231.6153846153848
CER 001;2022;17;2022-04-25;3600.0;2605.0;675.0;2725.0;1559.0;3679.0;1640.0;3188.153846153846
CER 001;2022;18;2022-05-02;1023.0;3600.0;2605.0;675.0;2725.0;11525.0;3102.5;3182.076923076923
CER 001;2022;19;2022-05-09;1349.0;1023.0;3600.0;2605.0;675.0;2647.0;2311.5;2374.230769230769
CER 001;2022;20;2022-05-16;2544.0;1349.0;1023.0;3600.0;2605.0;4316.0;1186.0;2274.3846153846152
CER 001;2022;21;2022-05-23;1175.0;2544.0;1349.0;1023.0;3600.0;3753.0;1946.5;2138.076923076923
CER 001;2022;22;2022-05-30;2689.0;1175.0;2544.0;1349.0;1023.0;2246.0;1859.5;1939.7692307692307
CER 001;2022;23;2022-06-06;1865.0;2689.0;1175.0;2544.0;1349.0;1175.0;1932.0;1973.8461538461536
CER 001;2022;24;2022-06-13;1450.0;1865.0;2689.0;1175.0;2544.0;1862.0;2277.0;2026.923076923077
CER 001;2022;25;2022-06-20;3319.0;1450.0;1865.0;2689.0;1175.0;2679.0;1657.5;1995.2307692307693
CER 001;2022;26;2022-06-27;2720.0;3319.0;1450.0;1865.0;2689.0;1559.0;2384.5;2044.4615384615383
