Código;Año;Semana;Fecha;Salida;Salida_Promedio;Salida_Std;Salida_Min;Salida_Max;Empresa_Modo;Canal_Modo;Punto_Modo;Mes;Trimestre;Lag_1;Lag_2;Lag_3;Lag_4;Lag_13;MA_2;MA_4;MA_8;MA_13
CER 001;2020;53;2020-12-28;5997.0;2998.5;2281.833582888989;1385.0;4612.0;DRAGON;Online;Unknown;12;4;;;;;;;;;
CER 001;2021;1;2021-01-04;1500.0;1500.0;;1500.0;1500.0;H&R ELECTRICAL ENGINEERS S.A.C.;Online;Unknown;1;1;5997.0;;;;;5997.0;5997.0;5997.0;5997.0
CER 001;2021;3;2021-01-18;4600.0;2300.0;1697.0562748477141;1100.0;3500.0;Madrid INMOBILIARIA;Online;Sector B;1;1;1500.0;5997.0;;;;3748.5;3748.5;3748.5;3748.5
CER 001;2021;4;2021-01-25;6000.0;3000.0;0.0;3000.0;3000.0;ELCONSI;Presencial;Sector A;1;1;4600.0;1500.0;5997.0;;;3050.0;4032.3333333333335;4032.3333333333335;4032.3333333333335
CER 001;2021;5;2021-02-01;5816.0;581.6;351.42478253216257;184.0;1000.0;ELCONSI;Presencial;Sector B;2;1;6000.0;4600.0;1500.0;5997.0;;5300.0;4524.25;4524.25;4524.25
CER 001;2021;6;2021-02-08;2618.0;327.25;189.7304478915887;100.0;668.0;ELCONSI;Presencial;Sector A;2;1;5816.0;6000.0;4600.0;1500.0;;5908.0;4479.0;4782.6;4782.6
CER 001;2021;7;2021-02-15;5404.0;772.0;776.3942297570223;200.0;2000.0;NEVADO CONSTRUCTORA;Presencial;Sector B;2;1;2618.0;5816.0;6000.0;4600.0;;4217.0;4758.5;4421.833333333333;4421.833333333333
CER 001;2021;8;2021-02-22;2916.0;486.0;548.4304878469103;50.0;1500.0;NEVADO CONSTRUCTORA;Presencial;Sector B;2;1;5404.0;2618.0;5816.0;6000.0;;4011.0;4959.5;4562.142857142857;4562.142857142857
CER 001;2021;9;2021-03-01;2096.0;299.42857142857144;349.6221089227897;50.0;1000.0;PROCISA INGENIEROS S.A.C.;Presencial;Sector A;3;1;2916.0;5404.0;2618.0;5816.0;;4160.0;4188.5;4356.375;4356.375
CER 001;2021;10;2021-03-08;8700.0;2175.0;2242.58035902098;600.0;5500.0;ELCONSI;Online;Sector B;3;1;2096.0;2916.0;5404.0;2618.0;;2506.0;3258.5;3868.75;4105.222222222223
CER 001;2021;12;2021-03-22;3100.0;1033.3333333333333;808.290376865476;100.0;1500.0;Madrid INMOBILIARIA;Online;Sector A;3;1;8700.0;2096.0;2916.0;5404.0;;5398.0;4779.0;4768.75;4564.7
CER 001;2021;13;2021-03-29;3000.0;3000.0;;3000.0;3000.0;Madrid INMOBILIARIA;Online;Unknown;3;1;3100.0;8700.0;2096.0;2916.0;;5900.0;4203.0;4581.25;4431.545454545455
CER 001;2021;14;2021-04-05;5000.0;1250.0;866.0254037844386;500.0;2500.0;ELCONSI;Online;Sector A;4;2;3000.0;3100.0;8700.0;2096.0;;3050.0;4224.0;4206.25;4312.25
CER 001;2021;16;2021-04-19;7313.0;1462.6;1629.3537982893708;13.0;4000.0;Madrid INMOBILIARIA;Presencial;Sector A;4;2;5000.0;3000.0;3100.0;8700.0;5997.0;4000.0;4950.0;4104.25;4365.153846153846
CER 001;2021;17;2021-04-26;1500.0;1500.0;;1500.0;1500.0;PROCISA INGENIEROS S.A.C.;Online;Unknown;4;2;7313.0;5000.0;3000.0;3100.0;1500.0;6156.5;4603.25;4691.125;4466.384615384615
CER 001;2021;19;2021-05-10;3000.0;1500.0;707.1067811865476;1000.0;2000.0;NEVADO CONSTRUCTORA;Online;Unknown;5;2;1500.0;7313.0;5000.0;3000.0;4600.0;4406.5;4203.25;4203.125;4466.384615384615
CER 001;2021;20;2021-05-17;1500.0;750.0;353.5533905932738;500.0;1000.0;CIM;Online;Sector A;5;2;3000.0;1500.0;7313.0;5000.0;6000.0;2250.0;4203.25;4213.625;4343.307692307692
CER 001;2021;21;2021-05-24;3500.0;1750.0;353.5533905932738;1500.0;2000.0;GCG - GARCIA CONTRATISTAS GENERALES S.A.;Online;Sector A;5;2;1500.0;3000.0;1500.0;7313.0;5816.0;2250.0;3328.25;4139.125;3997.153846153846
